Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GRSE,EQ,2228,16.36,25522.19,130.89,2856.63
MAZDOCK,EQ,3150.6,4.93,127088.9,82.05,2592.03
COCHINSHIP,EQ,1745.2,10.67,45912.86,146.54,2549.16
BSE,EQ,7360,0.93,99637,23.46,1719.23
HAL,EQ,4724.5,2.49,315962.75,34.41,1614.12
TATAMOTORS,EQ,695.25,-1.76,255945.77,215.03,1498.57
BDL,EQ,1778.5,1.82,65193.14,68.27,1223.53
BEL,EQ,344.15,2.5,251566.04,290.77,990.95
BHARTIARTL,EQ,1828.4,0.43,1042572.94,49.52,915.8
WAAREEENER,EQ,2825.4,5.03,81169,29.54,830.68
RECLTD,EQ,389.7,-3,102616.74,207.73,821.05
TATASTEEL,EQ,155.48,4.05,194093.88,442.47,688.44
HDFCBANK,EQ,1916.1,-0.34,1466887.97,35.59,683.77
ICICIBANK,EQ,1424.5,-0.43,1015540.98,37.05,531.01
PARAS,EQ,1481.2,4.39,5968.3,30.49,456.27
PAYTM,EQ,848.9,-0.81,54152.06,53.21,447.25
HBLENGINE,EQ,555.8,9.72,15406.5,78.66,430.04
INDUSINDBK,EQ,780,1.29,60766.25,53.9,416.83
HEROMOTOCO,EQ,4078.7,0.37,81578.42,9.48,381.85
SIEMENS,EQ,3011,3.23,107227.88,12.63,377.81
SBIN,EQ,800.15,-0.2,714103.47,46.94,377.09
BAJFINANCE,EQ,9087.5,0.5,564723.29,4.16,377.07
SWIGGY,EQ,309,-0.5,77053.69,120.93,374.77
RVNL,EQ,369.05,3.36,76947.67,99.87,367.72
COFORGE,EQ,8442,2.12,56459.13,4.36,367.08
SUZLON,EQ,59.93,4.05,81795.73,617.86,366.33
RELIANCE,EQ,1423.2,0.53,1925941.51,25.28,360.16
CDSL,EQ,1340.7,1.31,28020.63,26.24,351.17
NYKAA,EQ,197.7,0.04,56511.92,170.63,339.51
ITDCEM,EQ,613.05,8.51,10531.44,54.26,335.94
LT,EQ,3595.6,0.8,494464.09,9.27,333.55
ABCAPITAL,EQ,218.04,6.42,56845.2,150.89,324.44
JINDALSTEL,EQ,927.6,1.97,94623.37,34.73,321.55
TCS,EQ,3542.5,0.78,1281707.5,8.82,311.83
INFY,EQ,1588.5,1.27,659745.9,19.6,311.02
CIPLA,EQ,1501.6,-1.22,121275.28,20.49,306.48
M&M,EQ,3097.8,1.44,385220.36,9.81,302.52
INDIGO,EQ,5513.5,-0.14,213063.35,5.37,295.66
SHRIRAMFIN,EQ,646.85,2.09,121632.63,45.38,294.54
CANBK,EQ,105.57,0.75,95758.87,278.68,294.48
DIXON,EQ,16106,-0.7,97017.21,1.81,293.47
BHARATFORG,EQ,1243.1,3.26,59431.2,23.48,292.83
BEML,EQ,3406.5,2.38,14186.2,8.43,287.57
BHEL,EQ,235.92,-1.03,82148.84,120.44,285.35
VEDL,EQ,442,1.52,172839.15,63.39,281.16
MCX,EQ,6082,2.43,31017.21,4.57,274.7
YESBANK,EQ,21.03,0.77,65942.04,1314.04,274.37
DATAPATTNS,EQ,2569.7,3.4,14386.2,10.59,273.57
VBL,EQ,508.85,0.02,172086.24,49.32,252.26
ETERNAL,EQ,234.55,1.25,226348.97,105.04,246.14
RAILTEL,EQ,347.65,6.69,11157.42,71.58,245.47
KAYNES,EQ,6331.5,0.73,40574.98,3.8,239.01
PFC,EQ,406.9,-1.32,134281.14,57.75,238.65
NBCC,EQ,106.88,5.1,28857.6,223.54,234.36
TRITURBINE,EQ,574.6,4.36,18265.21,39.97,232.8
SAIL,EQ,120.37,3.77,49719.13,191.89,230.05
MFSL,EQ,1332.1,3.26,45972.74,16.4,218.49
KFINTECH,EQ,1075.9,2.68,18514.45,20.32,218.41
TANLA,EQ,556.4,-0.17,7490.11,38.6,216.4
NTPC,EQ,342.1,0.18,331722.95,60.76,207.93
KPIGREEN,EQ,439.4,5.91,8651.37,48.01,207.57
ANGELONE,EQ,2564.4,3.09,23189.34,8.03,204.5
TATAELXSI,EQ,6090.5,1.75,37934.41,3.21,195.19
ASIANPAINT,EQ,2288.5,-1.55,219512.41,8.49,194.56
UNIONBANK,EQ,134.33,2.72,102542.22,145.13,194.35
IRCON,EQ,169.6,5.77,15951.15,116.18,193.48
JIOFIN,EQ,267.75,0.13,170105.37,71.54,191.98
KALYANKJIL,EQ,554.1,-0.07,57151.83,34.43,191.94
KOTAKBANK,EQ,2096.7,-0.89,416876.43,8.98,189.35
TITAGARH,EQ,788.6,5.27,10620.37,24.13,187.45
IRFC,EQ,128.22,2.77,167564.38,147.54,187.35
HDFCAMC,EQ,4543,1.03,97158.04,3.97,179.77
APOLLO,EQ,131.93,-0.89,4043.52,136.16,179.03
MARUTI,EQ,12636,1.23,397279.09,1.41,177.67
TRENT,EQ,5342,0.29,189901.4,3.29,176.74
HINDALCO,EQ,647.05,1.94,145406.79,26.71,172.48
NATIONALUM,EQ,171.38,3.84,31476.2,100.88,172.44
