"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","25,247.55","25,370.70","25,213.65","25,418.90","25,320.65","-","-98.25","-0.39","50,83,88,604","40,771.81","26,373.20","21,743.65","-2.38","9.31"
"NESTLEIND","1,286.00","1,339.60","1,283.00","1,287.90","1,332.50","-","44.60","3.46","52,92,100","700.20","1,339.60","1,055.00","4.58","-38.90"
"TATACONSUM","1,106.50","1,138.90","1,100.10","1,107.20","1,132.00","-","24.80","2.24","25,70,464","290.79","1,220.90","930.10","-3.83","18.05"
"APOLLOHOSP","6,787.00","6,974.50","6,767.00","6,801.00","6,950.00","-","149.00","2.19","4,89,138","339.39","8,099.50","6,001.00","-0.42","2.60"
"M&M","3,283.00","3,452.40","3,282.80","3,384.40","3,444.30","-","59.90","1.77","52,91,090","1,796.09","3,839.90","2,425.00","-6.24","17.35"
"ITC","318.80","325.15","316.45","318.60","322.30","-","3.70","1.16","4,19,75,824","1,350.87","471.50","316.45","-19.58","-25.66"
"TITAN","3,945.00","3,995.00","3,909.80","3,939.70","3,982.10","-","42.40","1.08","14,27,639","566.21","4,312.10","2,925.00","0.08","18.00"
"BEL","446.85","451.95","439.30","444.50","449.25","-","4.75","1.07","3,66,84,903","1,642.71","457.50","240.25","14.16","68.04"
"EICHERMOT","6,980.00","7,151.00","6,980.00","7,056.50","7,129.50","-","73.00","1.03","4,54,539","322.29","7,613.50","4,646.00","-0.97","37.42"
"SBIN","1,064.00","1,082.50","1,060.40","1,066.20","1,077.00","-","10.80","1.01","94,80,769","1,019.04","1,082.50","680.00","10.65","42.02"
"BAJAJ-AUTO","9,497.00","9,626.00","9,382.50","9,512.00","9,584.00","-","72.00","0.76","2,83,660","271.03","9,888.00","7,089.35","3.40","11.26"
"SBILIFE","1,986.30","2,018.40","1,951.50","1,996.30","2,009.90","-","13.60","0.68","20,50,622","408.89","2,109.60","1,372.55","0.15","36.80"
"ASIANPAINT","2,417.00","2,445.00","2,400.50","2,416.00","2,431.00","-","15.00","0.62","20,48,843","497.26","2,985.70","2,124.75","-11.96","9.23"
"MARUTI","14,502.00","14,679.00","14,300.00","14,502.00","14,580.00","-","78.00","0.54","9,46,509","1,372.11","17,370.00","11,059.45","-12.30","21.88"
"HINDUNILVR","2,341.00","2,385.00","2,340.00","2,352.60","2,365.00","-","12.40","0.53","20,90,462","495.23","2,750.00","2,136.00","3.62","-0.46"
"MAXHEALTH","945.00","964.00","940.00","952.60","957.20","-","4.60","0.48","56,38,365","538.36","1,314.30","940.00","-8.07","-6.65"
"RELIANCE","1,382.60","1,398.00","1,378.50","1,391.00","1,397.00","-","6.00","0.43","1,12,39,835","1,563.73","1,611.80","1,114.85","-9.38","12.94"
"SUNPHARMA","1,589.30","1,606.50","1,585.10","1,589.30","1,595.00","-","5.70","0.36","39,62,196","632.34","1,851.20","1,548.00","-7.26","-8.07"
"DRREDDY","1,200.00","1,224.80","1,200.00","1,208.90","1,213.20","-","4.30","0.36","16,72,460","203.67","1,379.70","1,020.00","-3.77","3.12"
"HDFCLIFE","721.25","735.70","720.65","727.10","729.50","-","2.40","0.33","36,72,455","268.07","820.75","595.25","-1.62","16.34"
"CIPLA","1,319.00","1,329.90","1,314.40","1,320.90","1,325.00","-","4.10","0.31","21,57,826","285.39","1,673.00","1,281.70","-11.29","-7.02"
"BAJAJFINSV","1,928.50","1,956.60","1,927.00","1,948.10","1,953.70","-","5.60","0.29","13,42,205","261.36","2,195.00","1,617.00","-3.64","9.06"
"AXISBANK","1,352.00","1,378.70","1,352.00","1,363.70","1,366.90","-","3.20","0.23","1,47,58,482","2,022.89","1,378.70","974.80","9.98","39.35"
"BHARTIARTL","1,925.60","1,974.00","1,925.60","1,967.90","1,968.80","-","0.90","0.05","76,83,747","1,508.01","2,174.50","1,559.50","-6.24","23.01"
"LT","3,902.50","3,942.40","3,891.80","3,932.90","3,935.00","-","2.10","0.05","22,08,465","866.46","4,195.00","2,965.30","-2.95","13.99"
"ADANIENT","2,005.00","2,038.80","1,992.20","2,019.20","2,020.00","-","0.80","0.04","12,30,915","248.96","2,616.50","1,848.00","-8.77","-12.86"
"ULTRACEMCO","12,649.00","12,725.00","12,536.00","12,717.00","12,710.00","-","-7.00","-0.06","2,96,876","376.42","13,097.00","10,047.85","8.45","9.95"
"ADANIPORTS","1,417.80","1,428.50","1,407.00","1,417.80","1,417.00","-","-0.80","-0.06","22,27,414","316.13","1,549.00","1,010.75","-2.83","29.43"
"JIOFIN","253.00","257.60","249.55","254.50","254.00","-","-0.50","-0.20","1,34,48,707","341.76","338.60","198.65","-12.99","6.80"
"SHRIRAMFIN","1,025.00","1,029.30","1,010.15","1,022.80","1,020.00","-","-2.80","-0.27","64,64,610","659.38","1,029.30","516.00","4.15","84.28"
"INDIGO","4,580.00","4,661.00","4,551.00","4,621.00","4,605.00","-","-16.00","-0.35","15,67,278","721.56","6,232.50","4,157.85","-8.40","7.05"
"BAJFINANCE","928.35","938.00","925.15","935.15","930.85","-","-4.30","-0.46","1,01,51,379","944.69","1,102.50","756.90","-6.01","-88.02"
"TCS","3,141.00","3,141.00","3,092.00","3,144.40","3,129.00","-","-15.40","-0.49","30,22,068","943.38","4,150.00","2,866.60","-3.79","-23.80"
"GRASIM","2,837.50","2,839.60","2,807.90","2,831.70","2,816.10","-","-15.60","-0.55","10,83,570","305.94","2,977.80","2,301.65","-0.80","14.89"
"ETERNAL","272.65","275.85","267.65","275.35","273.50","-","-1.85","-0.67","4,37,52,149","1,197.28","368.45","194.80","-1.26","-"
"HDFCBANK","930.00","938.90","927.75","935.50","929.00","-","-6.50","-0.69","2,96,91,233","2,766.72","1,020.50","830.55","-6.22","-44.60"
"TMPV","350.80","353.00","348.40","351.80","349.25","-","-2.55","-0.72","99,10,289","347.18","755.00","335.60","-3.23","-"
"INFY","1,655.00","1,655.00","1,618.10","1,659.50","1,642.70","-","-16.80","-1.01","92,07,926","1,505.03","1,924.00","1,307.00","1.20","-12.77"
"NTPC","359.00","359.35","351.10","358.15","354.10","-","-4.05","-1.13","2,26,41,103","803.42","371.45","292.80","9.57","10.82"
"KOTAKBANK","410.00","412.50","405.40","412.40","407.50","-","-4.90","-1.19","2,06,81,886","843.99","460.38","374.32","-81.05","-78.75"
"WIPRO","238.00","238.00","235.30","239.80","236.45","-","-3.35","-1.40","1,13,62,317","268.93","323.60","228.00","-10.15","-24.18"
"TRENT","3,815.00","3,841.80","3,751.10","3,823.80","3,766.00","-","-57.80","-1.51","10,70,238","405.20","6,270.40","3,693.10","-10.03","-32.37"
"HCLTECH","1,713.20","1,713.20","1,683.00","1,721.60","1,691.40","-","-30.20","-1.75","44,48,681","754.83","1,752.50","1,302.75","4.98","-1.36"
