"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","22,994.30","23,110.20","22,916.00","23,134.80","23,079.50","-","-55.30","-0.24","4,15,70,27,368","1,19,531.12","24,144.20","19,519.85","-2.49","8.63"
"IDEA","9.96","11.38","9.86","10.05","11.13","-","1.08","10.75","1,73,05,14,645","1,900.11","12.80","6.12","-7.38","24.94"
"ONESOURCE","1,104.20","1,221.20","1,057.00","1,114.00","1,221.00","-","107.00","9.61","5,60,756","65.48","2,248.00","1,057.00","-32.64","-25.81"
"SIGNATURE","833.00","945.00","831.20","836.90","900.00","-","63.10","7.54","54,21,132","493.35","1,339.50","775.20","-19.13","-23.17"
"GRSE","2,574.00","2,810.00","2,528.00","2,585.00","2,761.00","-","176.00","6.81","52,13,657","1,419.06","3,538.40","1,184.90","14.49","79.81"
"RHIM","412.00","456.45","409.10","412.00","440.00","-","28.00","6.80","19,14,327","84.48","547.90","376.45","0.25","-5.29"
"TRIVENI","348.90","379.80","346.50","351.10","372.00","-","20.90","5.95","7,11,693","26.31","468.10","313.10","-1.69","-5.88"
"GILLETTE","8,408.00","8,825.00","8,310.00","8,301.00","8,780.00","-","479.00","5.77","2,07,764","179.62","11,500.00","7,411.65","7.47","1.16"
"VGUARD","334.90","355.00","331.25","334.50","353.00","-","18.50","5.53","7,29,451","25.28","409.75","298.00","7.09","-1.50"
"ACMESOLAR","214.33","228.25","212.56","214.33","226.00","-","11.67","5.44","10,70,870","23.99","324.30","171.99","-3.67","18.07"
"TTML","42.00","47.50","41.70","42.57","44.85","-","2.28","5.36","3,08,24,611","142.29","81.12","41.07","-8.15","-35.54"
"NEULANDLAB","12,500.00","13,455.00","12,447.00","12,555.00","13,213.00","-","658.00","5.24","62,075","80.87","19,747.00","10,190.70","-11.24","-4.75"
"KIRLOSBROS","1,500.00","1,592.10","1,476.30","1,492.10","1,570.00","-","77.90","5.22","1,00,265","15.61","2,475.00","1,422.35","-3.13","-12.79"
"BLUESTARCO","1,700.00","1,822.00","1,699.10","1,732.50","1,822.00","-","89.50","5.17","12,69,386","227.13","2,269.80","1,521.00","6.38","-0.58"
"ZFCVINDIA","14,227.00","15,168.00","14,148.00","14,270.00","15,000.00","-","730.00","5.12","22,450","33.28","15,848.00","9,900.00","1.10","39.20"
"AARTIIND","355.00","375.75","349.65","354.95","371.95","-","17.00","4.79","11,28,755","41.55","495.00","338.05","1.05","-13.08"
"RRKABEL","1,316.00","1,382.00","1,290.70","1,317.10","1,379.90","-","62.80","4.77","1,78,063","24.04","1,562.60","853.55","-4.15","10.30"
"VTL","413.55","468.00","407.45","413.55","432.75","-","19.20","4.64","87,25,841","391.86","539.90","361.10","-1.59","-5.37"
"SUNDRMFAST","886.50","1,018.65","878.20","894.60","936.00","-","41.40","4.63","1,21,053","11.27","1,080.00","831.15","3.27","-4.46"
"KIRLOSENG","1,118.00","1,180.00","1,107.10","1,118.50","1,170.10","-","51.60","4.61","3,45,263","40.17","1,329.00","544.40","-4.11","35.93"
"PRAJIND","279.00","294.50","277.20","279.00","291.75","-","12.75","4.57","11,41,762","32.88","699.00","273.00","-8.83","-56.11"
"CANFINHOME","896.10","941.05","887.50","900.60","940.00","-","39.40","4.37","2,27,057","20.97","971.50","558.50","0.57","39.70"
"RADICO","2,700.00","2,849.00","2,694.90","2,701.30","2,818.50","-","117.20","4.34","6,26,081","174.56","3,591.90","1,845.50","-16.23","31.28"
