"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 150","21,353.80","21,539.35","21,225.45","21,483.65","21,490.90","-","7.25","0.03","2,48,34,21,469","30,830.30","22,650.05","17,269.50","-2.59","10.31"
"IDEA","9.96","11.38","9.86","10.05","11.13","-","1.08","10.75","1,73,05,14,645","1,900.11","12.80","6.12","-7.38","24.94"
"BLUESTARCO","1,700.00","1,822.00","1,699.10","1,732.50","1,822.00","-","89.50","5.17","12,69,386","227.13","2,269.80","1,521.00","6.38","-0.58"
"AUROPHARMA","1,190.00","1,219.00","1,174.00","1,150.60","1,198.90","-","48.30","4.20","81,27,226","975.41","1,278.60","1,010.00","1.80","4.46"
"DEEPAKNTR","1,581.90","1,674.00","1,561.40","1,581.90","1,646.00","-","64.10","4.05","2,47,998","40.76","2,399.95","1,514.00","-5.29","-27.86"
"APARINDS","7,580.50","8,044.50","7,395.00","7,695.00","8,001.00","-","306.00","3.98","1,31,711","103.41","9,905.00","4,308.05","-4.65","9.78"
"VMM","121.05","127.00","121.00","121.82","126.25","-","4.43","3.64","1,37,54,541","172.37","157.60","95.99","-6.60","19.20"
"UNOMINDA","1,142.00","1,186.20","1,133.00","1,143.40","1,183.00","-","39.60","3.46","10,33,856","121.04","1,382.00","767.60","-7.15","32.09"
"HONAUT","32,390.00","34,280.00","32,170.00","32,295.00","33,400.00","-","1,105.00","3.42","8,293","27.72","41,542.55","30,590.00","1.15","-16.65"
"THERMAX","2,808.80","2,917.50","2,751.10","2,795.20","2,888.00","-","92.80","3.32","1,66,507","47.68","4,091.80","2,742.70","-4.50","-23.48"
"COCHINSHIP","1,608.00","1,666.00","1,575.00","1,610.20","1,660.60","-","50.40","3.13","19,86,637","324.45","2,545.00","1,180.20","2.82","15.65"
