"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 100","58,435.70","58,650.15","57,814.45","58,432.00","58,114.55","-","-317.45","-0.54","54,74,79,596","8,731.35","61,548.85","46,865.70","-2.47","10.84"
"MOTILALOFS","761.45","786.00","747.00","753.55","784.90","-","31.35","4.16","7,31,227","56.67","1,097.10","513.00","-10.20","12.37"
"NTPCGREEN","87.69","90.60","87.01","86.17","88.65","-","2.48","2.88","79,91,426","71.44","120.69","84.55","-8.04","-25.03"
"SWIGGY","313.00","323.50","309.35","309.75","317.80","-","8.05","2.60","41,39,651","132.31","474.00","297.00","-21.39","-27.66"
"DIXON","10,590.00","11,026.00","10,429.00","10,446.00","10,673.00","-","227.00","2.17","6,64,459","714.73","18,471.00","9,835.00","-11.23","-28.14"
"PERSISTENT","6,065.00","6,156.50","5,949.50","6,035.00","6,154.50","-","119.50","1.98","87,526","52.92","6,599.00","4,148.95","-2.39","-3.84"
"CONCOR","505.00","524.60","501.20","502.25","511.50","-","9.25","1.84","23,55,998","121.38","652.04","472.75","-3.23","-32.39"
"HUDCO","193.40","200.71","191.79","191.65","195.18","-","3.53","1.84","43,47,782","85.26","253.73","158.85","-14.44","-10.90"
"NMDC","80.00","83.40","78.65","81.21","82.59","-","1.38","1.70","2,19,48,541","178.44","86.72","59.53","-2.64","23.49"
"VMM","126.00","129.50","124.56","125.95","127.98","-","2.03","1.61","22,34,460","28.48","157.60","95.99","-6.60","19.20"
"SRF","2,792.30","2,881.50","2,792.30","2,816.30","2,856.50","-","40.20","1.43","1,05,378","30.12","3,325.00","2,570.20","-7.31","5.68"
"NYKAA","235.25","243.54","235.25","237.50","240.88","-","3.38","1.42","6,55,469","15.74","273.22","154.90","-9.88","39.21"
"TIINDIA","2,335.10","2,436.00","2,333.80","2,335.10","2,366.00","-","30.90","1.32","2,14,209","51.23","3,419.90","2,164.90","-8.98","-27.02"
"TATAELXSI","5,317.50","5,398.00","5,285.50","5,323.50","5,393.50","-","70.00","1.31","53,993","28.93","6,735.00","4,700.00","2.51","-13.77"
"JUBLFOOD","499.95","509.95","492.70","497.05","502.95","-","5.90","1.19","4,06,353","20.48","760.50","481.10","-10.97","-27.79"
"TATACOMM","1,571.90","1,597.80","1,561.00","1,570.50","1,589.00","-","18.50","1.18","31,387","4.96","2,004.00","1,291.00","-13.31","0.99"
"PRESTIGE","1,466.00","1,490.00","1,450.10","1,461.50","1,477.40","-","15.90","1.09","1,16,701","17.20","1,814.00","1,048.05","-6.89","10.85"
"INDUSINDBK","894.10","905.35","887.40","896.10","905.35","-","9.25","1.03","5,00,987","44.93","1,086.55","606.00","6.49","-5.50"
"SUZLON","48.21","48.95","47.50","47.67","48.08","-","0.41","0.86","3,35,57,361","162.45","74.30","44.88","-8.33","-9.66"
"MRF","1,33,000.00","1,34,355.00","1,32,145.00","1,32,165.00","1,33,280.00","-","1,115.00","0.84","1,683","22.46","1,63,600.00","1,02,124.05","-12.53","17.65"
"BIOCON","365.50","377.60","362.10","366.80","369.85","-","3.05","0.83","39,02,200","145.61","424.95","291.00","-6.05","3.12"
"KALYANKJIL","365.45","368.40","355.05","361.65","364.55","-","2.90","0.80","15,81,299","57.48","617.70","347.50","-24.95","-19.40"
"IRB","41.55","42.75","41.35","41.55","41.87","-","0.32","0.77","72,50,424","30.52","60.88","38.57","-1.38","-20.51"
"ACC","1,654.00","1,665.00","1,632.60","1,636.90","1,649.50","-","12.60","0.77","49,591","8.19","2,119.90","1,626.10","-5.50","-18.23"
"APLAPOLLO","2,040.10","2,070.80","2,036.60","2,045.70","2,061.00","-","15.30","0.75","2,56,193","52.53","2,151.10","1,272.70","8.63","34.41"
"TATATECH","645.95","651.95","644.75","645.95","650.40","-","4.45","0.69","1,39,913","9.06","803.00","597.00","1.13","-17.33"
"MANKIND","2,124.00","2,148.50","2,095.50","2,124.00","2,138.00","-","14.00","0.66","2,45,667","52.36","2,716.50","2,059.40","-1.32","-14.27"
"HDFCAMC","2,515.00","2,564.90","2,480.20","2,515.70","2,530.00","-","14.30","0.57","1,31,112","33.08","2,967.25","1,781.53","-4.35","-33.55"
"HEROMOTOCO","5,568.00","5,694.50","5,530.00","5,534.00","5,564.00","-","30.00","0.54","2,09,368","118.00","6,388.50","3,344.00","-3.10","35.89"
"AUBANK","982.35","990.60","978.80","982.35","987.60","-","5.25","0.53","2,02,704","19.96","1,029.95","478.35","-1.42","64.84"
"FORTIS","857.00","868.30","844.65","851.50","856.00","-","4.50","0.53","1,97,018","16.89","1,104.30","587.10","-3.11","35.47"
"COFORGE","1,654.90","1,667.00","1,630.30","1,653.80","1,662.40","-","8.60","0.52","2,03,454","33.45","1,994.00","1,194.01","-0.07","-81.09"
"SBICARD","755.75","757.45","750.00","753.55","757.05","-","3.50","0.46","1,64,199","12.38","1,027.25","749.90","-10.65","-1.03"
"FEDERALBNK","288.55","288.75","284.55","287.75","288.75","-","1.00","0.35","8,68,817","24.94","289.60","172.66","7.53","54.55"
"EXIDEIND","324.00","325.95","321.70","321.60","322.60","-","1.00","0.31","6,64,190","21.51","431.00","312.90","-10.13","-8.92"
"BHARTIHEXA","1,560.00","1,563.20","1,541.00","1,544.80","1,549.60","-","4.80","0.31","24,826","3.86","2,052.90","1,234.00","-13.25","15.10"
"IREDA","132.88","136.14","131.35","132.08","132.39","-","0.31","0.23","74,19,389","99.75","208.90","126.15","-3.49","-31.26"
"BLUESTARCO","1,809.10","1,829.90","1,803.40","1,816.90","1,821.10","-","4.20","0.23","68,216","12.42","2,269.80","1,521.00","6.38","-0.58"
"MPHASIS","2,764.50","2,783.80","2,730.00","2,759.00","2,763.80","-","4.80","0.17","20,336","5.57","3,037.20","2,044.55","-1.31","-8.32"
"MARICO","733.30","734.50","723.80","729.80","730.55","-","0.75","0.10","1,94,740","14.22","780.00","577.85","-1.26","8.63"
"YESBANK","21.45","21.56","21.25","21.41","21.42","-","0.01","0.05","2,61,22,524","55.98","24.30","16.02","0.19","13.82"
"OFSS","7,722.00","7,787.50","7,672.00","7,760.00","7,759.00","-","-1.00","-0.01","16,854","12.98","9,950.00","7,038.00","1.75","-18.63"
"SUPREMEIND","3,488.00","3,556.00","3,475.00","3,513.50","3,511.60","-","-1.90","-0.05","25,105","8.86","4,739.00","3,095.00","7.31","-8.01"
"PAGEIND","33,110.00","33,265.00","32,950.00","32,995.00","32,970.00","-","-25.00","-0.08","1,317","4.36","50,590.00","31,740.00","-7.23","-26.99"
"360ONE","1,134.30","1,135.10","1,115.10","1,134.30","1,132.20","-","-2.10","-0.19","1,57,071","17.70","1,273.80","790.50","-4.81","10.30"
"PATANJALI","500.00","503.70","495.55","500.40","499.20","-","-1.20","-0.24","2,59,682","13.00","670.33","492.65","-8.40","-72.98"
"ATGL","529.80","530.45","522.95","526.95","525.65","-","-1.30","-0.25","1,48,122","7.80","798.00","507.05","-6.58","-15.53"
"OBEROIRLTY","1,491.00","1,495.10","1,473.60","1,490.90","1,487.00","-","-3.90","-0.26","1,06,313","15.81","2,005.00","1,425.50","-9.43","-13.24"
"OIL","509.00","522.50","496.00","510.05","508.40","-","-1.65","-0.32","22,84,090","117.23","522.50","325.00","23.96","25.15"
"COROMANDEL","2,282.60","2,285.80","2,259.00","2,282.60","2,275.00","-","-7.60","-0.33","14,094","3.21","2,718.90","1,596.00","2.06","27.32"
"BHARATFORG","1,450.00","1,475.00","1,432.30","1,441.40","1,434.30","-","-7.10","-0.49","4,43,246","64.67","1,506.50","919.10","-0.91","20.38"
"DABUR","509.25","518.00","499.40","506.60","504.10","-","-2.50","-0.49","5,37,829","27.35","577.00","433.30","2.21","-2.22"
"SONACOMS","496.00","500.70","490.50","495.75","493.10","-","-2.65","-0.53","2,61,898","13.00","559.50","380.00","3.54","-1.29"
"IRCTC","628.80","635.90","615.05","623.05","619.65","-","-3.40","-0.55","13,92,961","87.52","831.75","601.30","-8.70","-18.28"
"NHPC","78.29","79.16","77.51","78.20","77.74","-","-0.46","-0.59","31,62,967","24.79","92.34","71.00","-0.48","4.85"
"MFSL","1,620.30","1,620.30","1,590.70","1,613.60","1,603.50","-","-10.10","-0.63","40,072","6.42","1,752.20","950.00","-1.27","50.26"
"VOLTAS","1,328.00","1,331.10","1,310.10","1,327.90","1,319.10","-","-8.80","-0.66","72,667","9.58","1,531.00","1,135.00","-1.69","-9.92"
"LTF","286.45","288.00","282.95","286.35","284.40","-","-1.95","-0.68","9,63,349","27.50","329.45","131.05","-6.25","95.92"
"M&MFIN","371.85","378.90","369.60","375.55","373.00","-","-2.55","-0.68","2,83,925","10.64","412.20","231.02","-83.52","-82.13"
"ITCHOTELS","181.75","181.75","179.10","180.76","179.50","-","-1.26","-0.70","8,25,707","14.88","261.62","155.10","-7.89","5.18"
"ABCAPITAL","340.60","342.85","336.65","339.80","337.40","-","-2.40","-0.71","9,22,981","31.31","369.30","149.01","-2.72","92.48"
"GMRAIRPORT","94.00","94.30","92.50","93.89","93.20","-","-0.69","-0.73","18,49,033","17.32","110.36","67.75","-8.72","31.76"
