DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"168.00","170.10","164.49","168.26","170.00","169.54","168.03","192.48","128.16",26226742,"4,40,68,16,594.76",78302
11-Feb-2026,EQ,"166.70","169.75","164.54","166.69","167.40","168.26","168.27","192.48","128.16",19816201,"3,33,43,95,965.28",64271
10-Feb-2026,EQ,"162.85","167.40","160.56","162.07","166.60","166.69","165.62","192.48","128.16",21526686,"3,56,53,25,799.70",55911
09-Feb-2026,EQ,"159.50","162.75","159.50","159.04","162.00","162.07","161.90","192.48","128.16",8680788,"1,40,54,45,722.82",30226
06-Feb-2026,EQ,"157.00","159.48","155.52","157.80","158.70","159.04","157.65","192.48","128.16",5269308,"83,07,17,025.59",25704
05-Feb-2026,EQ,"157.20","158.30","156.59","157.34","157.61","157.80","157.52","192.48","128.16",5314795,"83,72,08,439.28",30387
04-Feb-2026,EQ,"154.93","158.17","154.00","155.00","157.24","157.34","156.99","192.48","128.16",8284585,"1,30,05,65,583.41",36978
03-Feb-2026,EQ,"153.00","155.50","151.21","148.56","155.07","155.00","153.95","192.48","128.16",11565356,"1,78,04,43,142.94",69290
02-Feb-2026,EQ,"148.30","149.63","145.52","148.56","148.71","148.56","147.37","192.48","128.16",4616823,"68,03,88,528.75",30587
01-Feb-2026,EQ,"153.26","154.42","147.50","154.65","148.05","148.56","150.07","192.48","128.16",5182295,"77,76,85,533.47",20931
30-Jan-2026,EQ,"151.99","155.49","150.32","151.99","154.45","154.65","154.41","192.48","128.16",10411870,"1,60,77,33,754.03",68323
29-Jan-2026,EQ,"153.40","154.40","150.37","153.35","151.80","151.99","152.17","192.48","128.16",7047526,"1,07,24,05,182.91",42205
28-Jan-2026,EQ,"149.00","154.41","148.99","149.02","153.20","153.35","152.96","192.48","128.16",13731892,"2,10,03,84,356.10",56361
27-Jan-2026,EQ,"149.15","150.82","147.68","149.33","149.40","149.02","148.89","192.48","128.16",12688395,"1,88,92,23,428.33",54617
23-Jan-2026,EQ,"150.20","152.15","145.10","142.46","148.60","149.33","149.17","192.48","128.16",66066666,"9,85,54,09,354.74",246021
22-Jan-2026,EQ,"139.00","144.00","138.03","137.98","143.00","142.46","139.95","192.48","128.16",12348702,"1,72,82,45,913.07",48809
21-Jan-2026,EQ,"139.00","141.69","136.90","139.39","138.00","137.98","139.43","192.48","128.16",13633132,"1,90,08,28,489.48",60555
20-Jan-2026,EQ,"142.60","142.75","138.90","142.64","139.39","139.39","140.93","192.48","128.16",8318034,"1,17,22,49,390.25",34440
19-Jan-2026,EQ,"144.50","145.24","142.06","144.84","142.39","142.64","143.21","192.48","128.16",6442060,"92,25,35,739.84",27865
16-Jan-2026,EQ,"144.60","145.90","143.23","145.32","144.71","144.84","144.63","192.48","128.16",8110476,"1,17,30,01,444.87",35304
14-Jan-2026,EQ,"142.60","146.00","142.52","143.37","145.20","145.32","144.37","192.48","128.16",3933831,"56,79,11,166.78",18615
13-Jan-2026,EQ,"144.25","144.75","141.05","143.74","143.43","143.37","142.47","192.48","128.16",5933750,"84,54,02,651.15",29689
12-Jan-2026,EQ,"143.00","144.39","141.21","144.03","143.85","143.74","142.99","192.48","128.16",5300196,"75,78,66,073.12",24273
09-Jan-2026,EQ,"145.30","146.25","143.29","144.98","144.20","144.03","144.39","192.48","128.16",3963220,"57,22,30,134.45",16631
08-Jan-2026,EQ,"147.64","147.82","143.71","147.64","144.60","144.98","145.27","192.48","128.16",5855201,"85,05,61,799.34",28083
07-Jan-2026,EQ,"147.60","148.35","146.10","147.67","147.60","147.64","147.16","192.48","128.16",4564682,"67,17,61,125.43",24060
06-Jan-2026,EQ,"148.00","148.95","146.58","147.19","147.65","147.67","147.76","192.48","128.16",4109307,"60,72,02,599.02",20879
05-Jan-2026,EQ,"147.00","150.19","145.95","144.46","146.85","147.19","147.85","192.48","128.16",12619074,"1,86,56,86,589.53",44632
02-Jan-2026,EQ,"144.50","145.90","142.65","144.18","144.95","144.46","144.34","192.48","128.16",8134028,"1,17,40,91,223.65",30242
01-Jan-2026,EQ,"146.04","146.43","143.80","145.82","144.20","144.18","144.80","192.48","128.16",4298978,"62,24,87,616.70",21012
31-Dec-2025,EQ,"146.00","147.25","144.81","145.82","145.79","145.82","145.94","192.48","128.16",3603961,"52,59,53,378.45",17432
30-Dec-2025,EQ,"146.15","146.60","144.73","146.05","145.60","145.82","145.63","192.48","128.16",5408553,"78,76,70,198.90",25472
29-Dec-2025,EQ,"145.50","146.55","143.48","144.88","145.85","146.05","145.02","192.48","128.16",3804621,"55,17,35,925.05",20751
26-Dec-2025,EQ,"146.51","146.62","144.49","146.33","145.00","144.88","145.21","192.48","128.16",3776615,"54,84,20,868.09",20795
24-Dec-2025,EQ,"149.90","149.90","146.13","149.34","146.35","146.33","147.42","192.48","128.16",3955280,"58,30,97,226.12",25710
23-Dec-2025,EQ,"149.50","150.50","148.45","148.97","149.56","149.34","149.49","192.48","128.16",2568295,"38,39,41,556.56",16262
22-Dec-2025,EQ,"150.00","151.70","148.40","150.09","148.88","148.97","149.92","192.48","128.16",4041037,"60,58,15,479.62",23997
19-Dec-2025,EQ,"146.60","150.50","144.95","145.33","149.70","150.09","149.15","192.48","128.16",10953964,"1,63,37,94,703.58",33675
18-Dec-2025,EQ,"148.00","148.50","145.05","147.84","145.28","145.33","146.12","192.48","128.16",5703173,"83,33,65,245.09",23950
17-Dec-2025,EQ,"150.05","150.38","147.05","149.49","147.52","147.84","148.64","192.48","128.16",4610967,"68,53,56,132.17",19302
16-Dec-2025,EQ,"151.00","151.90","148.50","151.79","149.35","149.49","150.06","192.48","128.16",4429209,"66,46,55,241.32",16189
15-Dec-2025,EQ,"149.10","152.20","148.01","149.57","151.45","151.79","150.61","192.48","128.16",9612799,"1,44,77,45,869.99",31659
12-Dec-2025,EQ,"145.25","150.35","145.25","145.29","149.65","149.57","148.83","192.48","128.16",12007352,"1,78,70,85,532.95",38481
11-Dec-2025,EQ,"141.50","145.60","140.51","141.34","145.10","145.29","143.75","192.48","128.16",6392124,"91,88,83,413.00",29659
10-Dec-2025,EQ,"141.00","143.24","140.18","141.00","140.90","141.34","141.64","192.48","128.16",5203854,"73,70,49,156.47",31506
09-Dec-2025,EQ,"135.71","141.40","134.25","135.47","140.98","141.00","138.81","192.48","128.16",9961299,"1,38,27,12,836.34",44393
08-Dec-2025,EQ,"140.23","141.78","134.90","140.08","135.65","135.47","137.56","192.48","128.16",7995242,"1,09,98,45,311.93",49217
05-Dec-2025,EQ,"146.50","146.64","139.50","146.12","140.15","140.08","141.70","192.48","128.16",14523533,"2,05,80,47,863.16",74767
04-Dec-2025,EQ,"146.78","147.75","145.68","146.78","145.85","146.12","146.57","192.48","128.16",3582527,"52,50,78,303.23",15858
03-Dec-2025,EQ,"150.00","150.19","145.83","149.78","146.80","146.78","147.04","192.48","128.16",6115298,"89,92,15,493.36",34000
02-Dec-2025,EQ,"150.01","152.40","149.21","150.05","149.95","149.78","150.26","192.48","128.16",16272094,"2,44,49,86,804.87",29013
01-Dec-2025,EQ,"151.11","151.20","149.38","150.36","150.20","150.05","150.10","192.48","128.16",6906158,"1,03,65,90,999.83",25027
28-Nov-2025,EQ,"150.80","152.21","149.81","149.64","150.31","150.36","150.65","192.48","128.16",4578914,"68,98,13,162.97",23105
27-Nov-2025,EQ,"152.00","152.22","149.25","151.18","149.50","149.64","150.12","192.48","128.16",4904968,"73,63,47,693.57",22911
26-Nov-2025,EQ,"150.00","152.50","149.72","149.63","151.17","151.18","151.18","192.48","128.16",4999472,"75,57,98,163.75",23696
25-Nov-2025,EQ,"150.00","150.31","148.57","149.91","150.30","149.63","149.45","192.48","128.16",4401144,"65,77,29,746.35",27486
24-Nov-2025,EQ,"149.10","150.90","148.10","149.11","150.00","149.91","149.86","192.48","128.16",7482792,"1,12,13,62,942.43",43634
21-Nov-2025,EQ,"151.17","151.25","148.52","151.22","149.10","149.11","149.66","192.48","128.16",7161555,"1,07,18,22,096.10",35059
20-Nov-2025,EQ,"153.00","153.59","151.03","152.88","151.29","151.22","151.93","192.48","128.16",3386488,"51,45,07,568.46",19902
19-Nov-2025,EQ,"153.90","153.90","152.10","153.16","152.95","152.88","152.97","192.48","128.16",3087236,"47,22,58,300.07",15788
18-Nov-2025,EQ,"155.10","155.52","152.90","154.78","153.90","153.16","153.76","192.48","128.16",3409847,"52,43,10,195.68",18704
17-Nov-2025,EQ,"154.99","157.75","154.55","154.59","155.00","154.78","156.08","192.48","128.16",5810479,"90,68,96,656.16",27604
14-Nov-2025,EQ,"154.30","155.26","153.40","154.13","155.00","154.59","154.39","192.48","128.16",4141559,"63,94,31,728.13",21481
13-Nov-2025,EQ,"155.50","156.07","154.00","155.85","154.30","154.13","155.16","192.48","128.16",3841132,"59,59,71,434.20",20169
12-Nov-2025,EQ,"151.09","156.30","151.09","150.94","155.95","155.85","154.58","192.48","128.16",8535481,"1,31,94,17,782.54",37901
11-Nov-2025,EQ,"152.80","153.50","149.32","152.50","151.19","150.94","150.61","192.48","128.16",6636127,"99,94,39,306.43",37864
10-Nov-2025,EQ,"154.39","155.27","152.25","153.71","152.38","152.50","153.02","192.48","128.16",7260687,"1,11,10,38,469.64",24490
07-Nov-2025,EQ,"152.93","155.18","151.76","152.93","153.95","153.71","153.67","192.48","128.16",16575533,"2,54,72,44,290.78",48747
06-Nov-2025,EQ,"156.89","156.89","151.36","156.16","153.01","152.93","152.77","192.48","128.16",12978521,"1,98,27,86,877.56",53660
04-Nov-2025,EQ,"158.20","158.28","154.87","157.60","156.10","156.16","156.01","192.48","128.16",16071978,"2,50,73,92,918.86",51003
03-Nov-2025,EQ,"156.60","158.90","155.20","156.56","157.85","157.60","157.66","192.48","128.16",9593425,"1,51,24,62,843.33",44871
