DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"377.20","389.20","371.25","375.20","376.20","375.05","379.40","424.95","291.00",8323909,"3,15,80,51,920.40",79274
11-Feb-2026,EQ,"371.10","376.80","367.30","371.05","376.20","375.20","372.61","424.95","291.00",2634512,"98,16,36,507.10",27100
10-Feb-2026,EQ,"374.00","375.00","366.75","373.95","371.00","371.05","370.94","424.95","291.00",2703185,"1,00,27,32,232.60",37835
09-Feb-2026,EQ,"368.85","375.00","366.40","365.40","372.95","373.95","372.80","424.95","291.00",2278289,"84,93,56,268.25",30026
06-Feb-2026,EQ,"367.80","367.85","361.10","367.80","364.45","365.40","363.55","424.95","291.00",1797290,"65,33,98,417.70",20949
05-Feb-2026,EQ,"368.55","370.00","363.50","368.55","367.50","367.80","366.31","424.95","291.00",1513592,"55,44,46,272.65",23055
04-Feb-2026,EQ,"373.80","376.50","366.10","372.30","368.00","368.55","370.59","424.95","291.00",1872248,"69,38,27,533.60",26206
03-Feb-2026,EQ,"385.00","387.70","370.90","370.15","372.00","372.30","375.00","424.95","291.00",4840490,"1,81,51,69,301.45",47473
02-Feb-2026,EQ,"369.90","372.25","360.55","368.20","371.00","370.15","364.79","424.95","291.00",4695435,"1,71,28,48,939.50",62187
01-Feb-2026,EQ,"365.50","377.60","362.10","366.80","367.05","368.20","372.06","424.95","291.00",6509175,"2,42,17,80,962.65",79862
30-Jan-2026,EQ,"364.00","368.00","360.00","365.30","367.05","366.80","365.84","424.95","291.00",1851119,"67,72,15,344.10",54958
29-Jan-2026,EQ,"371.20","371.20","359.10","370.50","364.65","365.30","364.18","424.95","291.00",3013441,"1,09,74,24,933.20",39811
28-Jan-2026,EQ,"363.35","371.65","363.35","365.25","370.00","370.50","367.76","424.95","291.00",2519290,"92,64,90,045.85",46104
27-Jan-2026,EQ,"367.65","369.70","359.30","366.20","363.35","365.25","364.07","424.95","291.00",3333643,"1,21,36,64,087.20",32332
23-Jan-2026,EQ,"372.55","375.80","365.15","373.00","367.25","366.20","370.25","424.95","291.00",1896911,"70,23,29,305.15",53658
22-Jan-2026,EQ,"365.00","374.30","365.00","364.85","372.55","373.00","371.91","424.95","291.00",1700808,"63,25,55,500.00",37941
21-Jan-2026,EQ,"365.00","370.05","359.05","366.85","365.00","364.85","364.58","424.95","291.00",2608596,"95,10,54,672.75",43457
20-Jan-2026,EQ,"375.00","376.05","365.00","376.05","365.00","366.85","370.21","424.95","291.00",9421803,"3,48,80,22,075.60",88936
19-Jan-2026,EQ,"376.50","378.40","372.55","377.65","375.00","376.05","375.68","424.95","291.00",2516848,"94,55,38,737.80",35305
16-Jan-2026,EQ,"380.20","385.25","374.50","379.00","376.50","377.65","381.51","424.95","291.00",3434497,"1,31,02,84,849.35",50937
14-Jan-2026,EQ,"375.40","383.85","372.95","377.30","378.90","379.00","381.01","424.95","291.00",3555556,"1,35,47,13,021.50",34125
13-Jan-2026,EQ,"377.00","383.95","369.50","371.80","376.60","377.30","374.10","424.95","291.00",5162057,"1,93,11,02,496.95",64084
12-Jan-2026,EQ,"380.00","380.60","365.95","379.60","370.90","371.80","371.74","424.95","291.00",2148460,"79,86,59,245.20",41397
09-Jan-2026,EQ,"376.35","384.30","372.15","377.95","379.95","379.60","380.21","424.95","291.00",1597546,"60,74,10,435.50",20587
08-Jan-2026,EQ,"387.05","388.35","376.30","387.05","377.50","377.95","381.96","424.95","291.00",1288204,"49,20,47,269.05",24580
07-Jan-2026,EQ,"387.05","393.55","386.55","385.15","387.00","387.05","388.96","424.95","291.00",4830813,"1,87,89,97,818.60",40489
06-Jan-2026,EQ,"391.45","394.60","382.95","391.35","386.60","385.15","387.89","424.95","291.00",1770828,"68,68,78,938.95",24564
05-Jan-2026,EQ,"392.95","398.95","388.45","392.95","391.50","391.35","393.59","424.95","291.00",1485564,"58,46,98,151.65",20653
02-Jan-2026,EQ,"387.75","394.75","386.35","387.75","393.45","392.95","392.09","424.95","291.00",1452427,"56,94,85,402.80",14749
01-Jan-2026,EQ,"393.00","393.90","386.10","393.90","388.25","387.75","388.32","424.95","291.00",1345267,"52,23,92,202.30",22541
31-Dec-2025,EQ,"393.00","394.95","388.15","390.40","393.40","393.90","391.83","424.95","291.00",1242838,"48,69,83,133.50",19496
30-Dec-2025,EQ,"390.90","392.90","388.90","390.40","391.40","390.40","390.91","424.95","291.00",3936901,"1,53,89,64,792.30",78457
29-Dec-2025,EQ,"396.35","399.20","388.00","395.45","390.90","390.40","391.26","424.95","291.00",4725731,"1,84,90,08,842.40",26343
26-Dec-2025,EQ,"398.30","401.20","394.05","398.35","395.50","395.45","396.80","424.95","291.00",1962359,"77,86,60,997.80",15356
24-Dec-2025,EQ,"404.00","406.35","397.35","401.55","398.05","398.35","402.33","424.95","291.00",2707789,"1,08,94,31,995.30",45573
23-Dec-2025,EQ,"400.60","403.70","399.00","399.30","400.90","401.55","401.35","424.95","291.00",1907267,"76,54,75,952.90",20334
22-Dec-2025,EQ,"398.65","402.80","397.30","398.55","399.00","399.30","400.38","424.95","291.00",2260788,"90,51,68,723.15",29946
19-Dec-2025,EQ,"394.90","401.45","393.40","392.25","397.90","398.55","398.02","424.95","291.00",4142159,"1,64,86,53,365.65",47236
18-Dec-2025,EQ,"388.50","395.45","386.05","386.10","391.50","392.25","391.03","424.95","291.00",3763050,"1,47,14,81,642.70",33161
17-Dec-2025,EQ,"385.00","388.70","383.75","384.90","387.00","386.10","386.51","424.95","291.00",1318360,"50,95,62,016.40",23477
16-Dec-2025,EQ,"390.65","391.90","383.90","390.65","384.05","384.90","386.13","424.95","291.00",1015368,"39,20,66,795.45",18095
15-Dec-2025,EQ,"389.00","391.60","383.55","386.35","390.20","390.65","387.22","424.95","291.00",1455127,"56,34,52,144.10",23750
12-Dec-2025,EQ,"382.70","388.75","382.50","381.75","385.35","386.35","386.46","424.95","291.00",1966174,"75,98,48,743.10",22153
11-Dec-2025,EQ,"379.00","382.70","376.35","379.15","382.45","381.75","380.28","424.95","291.00",1102516,"41,92,62,499.20",17547
10-Dec-2025,EQ,"383.90","384.95","377.80","383.65","378.10","379.15","380.07","424.95","291.00",2562204,"97,38,27,566.80",35603
09-Dec-2025,EQ,"383.00","386.90","375.55","383.80","383.85","383.65","381.79","424.95","291.00",4551712,"1,73,77,82,814.00",42638
08-Dec-2025,EQ,"395.20","395.60","381.60","392.65","381.60","383.80","387.42","424.95","291.00",6232858,"2,41,47,50,863.00",73783
05-Dec-2025,EQ,"389.30","394.00","386.30","388.35","392.05","392.65","390.31","424.95","291.00",4217316,"1,64,60,53,758.85",42240
04-Dec-2025,EQ,"410.00","411.75","384.20","410.00","387.95","388.35","391.47","424.95","291.00",12104103,"4,73,84,47,663.20",137717
03-Dec-2025,EQ,"402.00","412.50","400.05","399.00","410.50","410.00","408.13","424.95","291.00",10962895,"4,47,42,94,765.45",176119
02-Dec-2025,EQ,"394.50","401.70","392.65","394.50","401.00","399.00","397.39","424.95","291.00",2851443,"1,13,31,43,644.95",47041
01-Dec-2025,EQ,"398.35","401.00","392.65","398.35","394.00","394.50","396.11","424.95","291.00",1957799,"77,55,06,499.65",31265
28-Nov-2025,EQ,"400.10","401.80","396.40","399.65","398.60","398.35","398.91","424.95","291.00",2397734,"95,64,78,170.75",30932
27-Nov-2025,EQ,"397.95","404.00","396.70","398.45","399.55","399.65","399.87","424.95","291.00",1913627,"76,51,95,226.85",39754
26-Nov-2025,EQ,"394.15","400.00","392.50","393.25","398.50","398.45","397.32","424.95","291.00",1595568,"63,39,53,830.45",40290
25-Nov-2025,EQ,"395.00","396.60","391.65","395.25","391.80","393.25","394.47","424.95","291.00",1628532,"64,24,10,647.05",24512
24-Nov-2025,EQ,"397.95","401.90","392.45","396.85","392.95","395.25","396.88","424.95","291.00",1994127,"79,14,22,586.70",42537
21-Nov-2025,EQ,"395.45","401.90","395.00","395.15","397.35","396.85","398.92","424.95","291.00",3348385,"1,33,57,46,696.80",42007
