DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"507.00","519.90","503.40","497.50","514.90","512.25","514.05","608.40","401.00",4040181,"2,07,68,54,366.45",88375
11-Feb-2026,EQ,"499.00","503.20","493.15","495.20","496.40","497.50","497.93","608.40","401.00",245157,"12,20,70,841.80",11496
10-Feb-2026,EQ,"504.00","504.00","492.70","498.60","495.75","495.20","496.97","608.40","401.00",278173,"13,82,42,596.15",12496
09-Feb-2026,EQ,"496.50","506.05","490.00","485.40","500.10","498.60","499.23","608.40","401.00",801216,"39,99,92,302.75",21863
06-Feb-2026,EQ,"485.10","489.55","483.55","487.55","484.70","485.40","485.54","608.40","401.00",478238,"23,22,03,174.25",16863
05-Feb-2026,EQ,"493.70","494.40","484.65","492.55","488.45","487.55","489.00","608.40","401.00",226513,"11,07,65,080.85",8390
04-Feb-2026,EQ,"479.10","496.50","479.05","492.35","493.90","492.55","491.49","608.40","401.00",549369,"27,00,08,757.10",18841
03-Feb-2026,EQ,"490.00","496.70","470.20","433.60","491.10","492.35","485.13","608.40","401.00",3098880,"1,50,33,72,751.25",102760
02-Feb-2026,EQ,"435.10","437.30","424.40","438.75","433.10","433.60","431.08","608.40","401.00",232086,"10,00,46,884.35",12704
01-Feb-2026,EQ,"436.55","448.60","431.00","431.20","440.00","438.75","440.82","608.40","401.00",238240,"10,50,20,186.00",9763
30-Jan-2026,EQ,"421.10","436.00","417.20","421.10","433.40","431.20","429.70","608.40","401.00",659852,"28,35,39,748.35",34129
29-Jan-2026,EQ,"431.30","436.95","419.10","431.30","421.10","421.10","422.82","608.40","401.00",336109,"14,21,12,778.95",15564
28-Jan-2026,EQ,"423.50","437.50","423.50","423.05","431.45","431.30","430.94","608.40","401.00",335433,"14,45,50,524.85",23123
27-Jan-2026,EQ,"425.95","430.60","416.25","425.00","425.25","423.05","423.78","608.40","401.00",219600,"9,30,62,613.80",19187
23-Jan-2026,EQ,"442.00","444.15","422.80","439.35","424.00","425.00","430.49","608.40","401.00",188655,"8,12,14,952.10",9396
22-Jan-2026,EQ,"427.20","441.25","427.20","425.10","441.10","439.35","435.47","608.40","401.00",336671,"14,66,09,991.10",17567
21-Jan-2026,EQ,"410.00","430.70","408.25","415.55","424.05","425.10","424.17","608.40","401.00",1617030,"68,58,91,613.70",27664
20-Jan-2026,EQ,"425.80","431.40","413.20","429.60","413.20","415.55","419.80","608.40","401.00",421908,"17,71,16,718.70",16141
19-Jan-2026,EQ,"428.15","433.00","425.00","431.35","428.40","429.60","429.18","608.40","401.00",148183,"6,35,97,797.95",7318
16-Jan-2026,EQ,"440.75","442.95","427.60","439.25","429.00","431.35","433.73","608.40","401.00",241572,"10,47,76,521.50",14769
14-Jan-2026,EQ,"438.00","445.20","437.75","440.20","439.90","439.25","441.16","608.40","401.00",156577,"6,90,75,320.20",8187
13-Jan-2026,EQ,"441.95","448.45","436.00","440.30","439.75","440.20","441.13","608.40","401.00",223622,"9,86,45,316.25",12625
12-Jan-2026,EQ,"447.10","453.75","432.20","447.10","442.25","440.30","439.13","608.40","401.00",361808,"15,88,79,582.80",16225
09-Jan-2026,EQ,"456.60","457.75","444.80","456.60","446.50","447.10","450.39","608.40","401.00",370613,"16,69,22,090.10",17674
08-Jan-2026,EQ,"470.00","473.10","455.15","472.05","456.55","456.60","462.24","608.40","401.00",431826,"19,96,07,579.30",15088
07-Jan-2026,EQ,"466.10","477.95","466.10","466.85","471.00","472.05","472.34","608.40","401.00",679371,"32,08,93,673.95",15692
06-Jan-2026,EQ,"475.00","476.35","465.75","476.70","467.60","466.85","469.15","608.40","401.00",181984,"8,53,77,524.80",8286
05-Jan-2026,EQ,"483.80","486.65","475.35","483.80","475.55","476.70","479.78","608.40","401.00",282136,"13,53,63,171.85",9031
02-Jan-2026,EQ,"479.00","484.60","477.30","476.15","483.75","483.80","482.41","608.40","401.00",282270,"13,61,69,451.95",12797
01-Jan-2026,EQ,"474.35","479.05","473.75","473.75","477.70","476.15","476.56","608.40","401.00",155578,"7,41,42,908.40",8306
31-Dec-2025,EQ,"470.05","479.80","466.15","472.00","474.10","473.75","474.67","608.40","401.00",452922,"21,49,90,346.55",24140
30-Dec-2025,EQ,"456.15","477.25","451.35","455.95","470.75","472.00","468.77","608.40","401.00",1872675,"87,78,53,789.10",62278
29-Dec-2025,EQ,"461.00","468.45","453.40","462.80","454.80","455.95","460.60","608.40","401.00",713997,"32,88,64,603.10",31427
26-Dec-2025,EQ,"465.90","467.30","462.10","465.90","463.35","462.80","464.48","608.40","401.00",167795,"7,79,37,062.90",8623
24-Dec-2025,EQ,"471.95","473.30","464.80","470.45","465.00","465.90","467.95","608.40","401.00",231914,"10,85,23,979.80",8906
23-Dec-2025,EQ,"473.95","476.30","468.50","472.95","470.00","470.45","471.44","608.40","401.00",489041,"23,05,55,194.00",18585
22-Dec-2025,EQ,"474.60","477.05","469.70","470.60","472.60","472.95","472.60","608.40","401.00",283782,"13,41,14,516.55",8971
19-Dec-2025,EQ,"470.30","473.00","467.00","467.40","471.40","470.60","469.90","626.95","401.00",204090,"9,59,01,138.95",8451
18-Dec-2025,EQ,"467.00","470.70","464.25","467.80","466.30","467.40","467.71","626.95","401.00",200593,"9,38,18,564.70",9582
17-Dec-2025,EQ,"478.95","480.10","466.30","478.55","467.80","467.80","471.99","626.95","401.00",265863,"12,54,85,719.05",12653
16-Dec-2025,EQ,"488.65","493.00","475.60","488.65","478.95","478.55","479.49","626.95","401.00",587297,"28,16,04,460.85",22959
15-Dec-2025,EQ,"487.90","494.20","486.80","487.90","488.75","488.65","490.51","626.95","401.00",303435,"14,88,38,436.05",16703
12-Dec-2025,EQ,"487.25","490.80","484.15","484.75","488.80","487.90","488.19","639.45","401.00",317625,"15,50,59,906.80",18359
11-Dec-2025,EQ,"485.75","489.65","482.00","485.60","485.90","484.75","484.65","639.45","401.00",181317,"8,78,74,801.35",10147
10-Dec-2025,EQ,"492.95","492.95","484.00","492.75","485.00","485.60","488.00","639.45","401.00",367022,"17,91,07,875.40",15860
09-Dec-2025,EQ,"484.10","496.15","476.30","483.25","490.00","492.75","487.14","639.45","401.00",408257,"19,88,76,859.50",21661
08-Dec-2025,EQ,"503.50","503.50","482.10","500.80","484.30","483.25","488.44","639.45","401.00",373946,"18,26,48,712.10",22402
05-Dec-2025,EQ,"492.00","504.00","492.00","491.45","500.80","500.80","499.84","669.00","401.00",449580,"22,47,18,460.05",24802
04-Dec-2025,EQ,"508.50","508.50","489.85","506.50","491.95","491.45","497.77","669.00","401.00",442139,"22,00,82,423.15",21145
03-Dec-2025,EQ,"509.00","515.00","504.80","505.95","505.70","506.50","510.58","669.00","401.00",654373,"33,41,12,412.60",39297
02-Dec-2025,EQ,"500.15","513.00","500.15","500.15","506.55","505.95","508.51","669.00","401.00",521046,"26,49,58,612.05",25128
01-Dec-2025,EQ,"510.00","512.70","498.55","510.50","500.10","500.15","503.00","669.00","401.00",572043,"28,77,38,695.05",16280
28-Nov-2025,EQ,"498.55","520.80","498.55","498.55","509.25","510.50","510.76","673.90","401.00",3298236,"1,68,46,07,956.90",53344
27-Nov-2025,EQ,"503.20","507.55","492.95","498.65","498.50","498.55","500.25","673.90","401.00",675937,"33,81,36,017.35",23105
26-Nov-2025,EQ,"486.00","510.00","483.05","480.50","496.75","498.65","499.86","673.90","401.00",3670073,"1,83,45,06,973.30",66429
25-Nov-2025,EQ,"495.50","495.75","473.30","495.85","480.00","480.50","481.82","673.90","401.00",4580258,"2,20,68,72,924.95",36031
24-Nov-2025,EQ,"494.00","498.45","487.15","492.75","494.50","495.85","493.72","673.90","401.00",468674,"23,13,95,131.60",15084
21-Nov-2025,EQ,"507.00","508.00","491.05","507.55","491.60","492.75","495.86","673.90","401.00",460572,"22,83,80,020.95",14738
20-Nov-2025,EQ,"506.10","513.35","501.00","504.55","507.00","507.55","508.24","673.90","401.00",1486495,"75,55,01,166.55",30880
19-Nov-2025,EQ,"507.95","508.00","499.25","504.90","504.00","504.55","503.66","673.90","401.00",331749,"16,70,89,297.75",12530
18-Nov-2025,EQ,"518.80","518.80","502.75","514.70","505.00","504.90","506.76","673.90","401.00",496364,"25,15,39,425.20",19766
17-Nov-2025,EQ,"506.00","534.40","500.15","501.50","515.00","514.70","522.62","673.90","401.00",3816106,"1,99,43,90,358.05",98208
14-Nov-2025,EQ,"504.15","504.80","496.70","500.00","500.00","501.50","501.39","673.90","401.00",166794,"8,36,29,270.45",7693
13-Nov-2025,EQ,"502.00","507.90","490.80","491.80","500.70","500.00","501.18","673.90","401.00",1084726,"54,36,42,010.55",33497
12-Nov-2025,EQ,"486.20","493.00","484.55","486.50","490.00","491.80","488.75","673.90","401.00",259525,"12,68,42,752.45",11827
11-Nov-2025,EQ,"474.45","493.40","469.60","474.45","486.20","486.50","484.88","673.90","401.00",371977,"18,03,63,481.65",17712
10-Nov-2025,EQ,"479.20","481.00","473.00","479.15","473.95","474.45","476.01","673.90","401.00",134593,"6,40,67,814.50",7172
07-Nov-2025,EQ,"481.00","481.00","473.00","483.40","478.05","479.15","476.91","673.90","401.00",166325,"7,93,22,277.95",9275
06-Nov-2025,EQ,"481.70","486.30","478.65","482.30","481.90","483.40","481.79","673.90","401.00",181574,"8,74,80,360.45",8778
04-Nov-2025,EQ,"498.00","498.70","480.90","495.65","482.00","482.30","487.07","673.90","401.00",296963,"14,46,41,329.30",12765
03-Nov-2025,EQ,"500.90","500.90","493.40","497.40","497.10","495.65","495.78","673.90","401.00",203122,"10,07,03,776.75",10298
31-Oct-2025,EQ,"505.00","509.90","496.10","501.60","497.00","497.40","502.88","678.00","401.00",358780,"18,04,25,040.55",11740
30-Oct-2025,EQ,"508.00","508.00","496.55","505.15","501.50","501.60","500.90","678.00","401.00",270557,"13,55,22,879.95",13729
29-Oct-2025,EQ,"497.00","507.40","492.30","496.90","505.00","505.15","501.64","678.00","401.00",542994,"27,23,86,500.65",16804
28-Oct-2025,EQ,"492.00","498.80","490.30","490.30","496.30","496.90","495.49","678.00","401.00",505478,"25,04,57,430.20",16261
27-Oct-2025,EQ,"492.00","495.20","486.05","487.65","490.50","490.30","490.48","678.00","401.00",554549,"27,19,94,736.95",22719
24-Oct-2025,EQ,"475.60","490.00","469.50","470.45","487.00","487.65","480.86","678.00","401.00",594129,"28,56,92,877.55",21191
23-Oct-2025,EQ,"486.95","495.00","468.00","475.50","472.00","470.45","480.42","678.00","401.00",700255,"33,64,19,015.65",27594
21-Oct-2025,EQ,"470.60","478.80","470.00","466.60","476.50","475.50","474.01","678.00","401.00",73015,"3,46,10,107.95",3460
20-Oct-2025,EQ,"468.75","469.95","458.85","465.75","469.00","466.60","464.47","678.00","401.00",219659,"10,20,25,687.15",10563
17-Oct-2025,EQ,"472.85","473.90","464.30","470.55","465.50","465.75","468.93","685.95","401.00",167754,"7,86,65,170.05",8447
16-Oct-2025,EQ,"461.85","478.00","458.95","460.45","468.90","470.55","467.73","685.95","401.00",667871,"31,23,80,710.90",28510
15-Oct-2025,EQ,"463.30","466.80","458.50","462.90","463.00","460.45","462.16","685.95","401.00",319895,"14,78,44,162.70",10873
14-Oct-2025,EQ,"474.05","475.20","461.00","472.30","462.05","462.90","467.37","685.95","401.00",229610,"10,73,13,628.05",10542
13-Oct-2025,EQ,"485.00","485.00","469.05","483.85","472.45","472.30","474.22","685.95","401.00",295276,"14,00,26,880.85",13057
10-Oct-2025,EQ,"485.00","490.50","480.35","487.85","483.15","483.85","486.01","695.00","401.00",251902,"12,24,27,192.55",10846
09-Oct-2025,EQ,"484.00","489.90","482.30","485.85","486.10","487.85","485.65","695.00","401.00",98870,"4,80,16,505.00",4588
08-Oct-2025,EQ,"490.00","493.00","484.10","496.25","484.80","485.85","487.24","695.00","401.00",122471,"5,96,72,591.75",6753
07-Oct-2025,EQ,"489.10","503.00","484.00","486.05","494.00","496.25","496.88","695.00","401.00",566924,"28,16,90,997.20",25176
06-Oct-2025,EQ,"493.00","493.00","481.00","494.40","492.00","486.05","485.37","695.00","401.00",129933,"6,30,65,133.65",7040
03-Oct-2025,EQ,"485.90","496.00","483.15","481.95","494.85","494.40","491.11","698.90","401.00",259726,"12,75,54,315.05",11627
01-Oct-2025,EQ,"482.00","486.40","479.75","482.20","482.00","481.95","481.73","698.90","401.00",202357,"9,74,80,657.70",18239
30-Sep-2025,EQ,"480.50","485.90","478.05","476.60","481.55","482.20","481.18","698.90","401.00",159710,"7,68,48,960.85",7848
29-Sep-2025,EQ,"487.00","492.30","473.00","485.95","481.95","476.60","481.48","698.90","401.00",252718,"12,16,77,780.70",16231
