DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Feb-2026,EQ,"199.10","210.00","197.15","180.90","199.32","201.67","205.04","255.45","142.20",134019973,"27,48,00,03,284.13",549274
12-Feb-2026,EQ,"183.51","185.19","180.20","184.28","180.55","180.90","181.97","255.45","142.20",1604084,"29,18,96,618.01",20829
11-Feb-2026,EQ,"183.60","184.80","181.10","183.34","184.14","184.28","182.99","255.45","142.20",1425781,"26,08,97,408.41",18144
10-Feb-2026,EQ,"181.70","184.79","180.36","180.82","183.40","183.34","182.69","255.45","142.20",2228103,"40,70,55,758.91",24896
09-Feb-2026,EQ,"172.80","181.90","172.50","171.38","180.97","180.82","178.01","255.45","142.20",3548811,"63,17,10,947.49",56663
06-Feb-2026,EQ,"173.05","173.57","170.40","173.94","171.70","171.38","171.54","255.45","142.20",1146496,"19,66,74,116.69",26570
05-Feb-2026,EQ,"176.80","176.82","173.28","176.80","174.10","173.94","174.33","255.45","142.20",1272322,"22,18,07,754.42",18013
04-Feb-2026,EQ,"174.00","177.20","173.10","173.08","176.98","176.80","175.53","255.45","142.20",2222094,"39,00,45,202.43",35538
03-Feb-2026,EQ,"176.00","178.98","172.55","171.30","173.28","173.08","174.39","255.45","142.20",2335139,"40,72,35,893.30",39658
02-Feb-2026,EQ,"168.35","172.50","165.99","168.69","171.90","171.30","168.32","255.45","142.20",1960631,"33,00,10,316.31",56737
01-Feb-2026,EQ,"173.40","175.70","167.21","172.47","168.00","168.69","171.40","255.45","142.20",1456801,"24,97,00,354.96",20638
30-Jan-2026,EQ,"168.60","173.10","166.26","169.97","173.00","172.47","170.91","255.45","142.20",2653537,"45,35,14,596.07",37926
29-Jan-2026,EQ,"173.50","174.43","168.65","173.28","169.60","169.97","169.87","255.45","142.20",3198200,"54,32,64,410.14",53233
28-Jan-2026,EQ,"165.59","175.00","165.59","164.56","173.40","173.28","170.50","255.45","142.20",2989017,"50,96,18,840.14",43242
27-Jan-2026,EQ,"167.95","168.56","163.55","167.15","165.00","164.56","165.23","255.45","142.20",2191968,"36,21,86,714.59",39440
23-Jan-2026,EQ,"177.21","177.45","166.40","176.34","167.06","167.15","170.06","255.45","142.20",2791086,"47,46,53,965.80",54790
22-Jan-2026,EQ,"180.05","181.25","176.00","178.55","176.65","176.34","177.85","255.45","142.20",2929357,"52,09,89,486.72",34684
21-Jan-2026,EQ,"180.35","184.49","173.73","180.61","178.79","178.55","177.68","255.45","142.20",2899554,"51,51,97,923.82",54917
20-Jan-2026,EQ,"185.70","186.49","180.00","185.64","180.30","180.61","183.64","255.45","142.20",1953864,"35,88,14,647.12",30936
