DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"924.70","943.00","921.05","918.85","929.80","928.55","933.30","1,104.30","587.10",2457834,"2,29,38,94,084.15",50664
11-Feb-2026,EQ,"891.85","930.90","890.20","891.85","920.00","918.85","918.83","1,104.30","587.10",3865582,"3,55,18,08,818.70",86303
10-Feb-2026,EQ,"892.00","897.85","885.40","891.30","891.40","891.85","891.16","1,104.30","587.10",1062353,"94,67,22,420.00",36037
09-Feb-2026,EQ,"859.00","895.05","853.20","855.70","892.40","891.30","880.22","1,104.30","587.10",1297869,"1,14,24,12,581.05",33128
06-Feb-2026,EQ,"854.10","857.60","844.05","857.20","853.90","855.70","851.48","1,104.30","587.10",908963,"77,39,62,160.30",44290
05-Feb-2026,EQ,"858.00","872.45","850.40","859.85","857.10","857.20","857.65","1,104.30","587.10",749831,"64,30,89,639.30",25412
04-Feb-2026,EQ,"859.50","869.65","855.10","863.10","857.50","859.85","862.52","1,104.30","587.10",1371869,"1,18,32,70,491.85",45048
03-Feb-2026,EQ,"855.00","870.95","852.15","837.95","864.90","863.10","862.38","1,104.30","587.10",1995886,"1,72,12,10,878.50",42594
02-Feb-2026,EQ,"828.00","842.90","812.60","832.80","840.00","837.95","828.91","1,104.30","587.10",1205946,"99,96,15,768.15",38754
01-Feb-2026,EQ,"857.00","868.30","827.80","851.50","833.75","832.80","849.09","1,104.30","577.00",364148,"30,91,95,422.90",13220
30-Jan-2026,EQ,"838.00","858.15","838.00","842.25","851.05","851.50","851.60","1,104.30","577.00",2077023,"1,76,87,97,235.30",60259
29-Jan-2026,EQ,"845.50","849.55","837.55","849.05","843.00","842.25","842.72","1,104.30","577.00",1813385,"1,52,81,67,244.45",40549
28-Jan-2026,EQ,"843.85","853.20","839.45","838.45","850.00","849.05","847.22","1,104.30","577.00",1089769,"92,32,79,098.20",40031
27-Jan-2026,EQ,"846.00","851.95","826.15","844.00","850.05","838.45","837.40","1,104.30","577.00",1363842,"1,14,20,86,091.65",52357
23-Jan-2026,EQ,"851.95","864.45","839.30","841.45","845.95","844.00","853.14","1,104.30","577.00",2332499,"1,98,99,53,491.65",59461
22-Jan-2026,EQ,"846.00","859.75","832.40","844.15","845.00","841.45","845.16","1,104.30","577.00",2982573,"2,52,07,63,928.55",64854
21-Jan-2026,EQ,"850.25","857.45","832.00","856.45","844.00","844.15","845.78","1,104.30","577.00",2537960,"2,14,65,44,547.90",80654
20-Jan-2026,EQ,"890.00","892.70","851.10","892.05","852.30","856.45","867.08","1,104.30","577.00",2644957,"2,29,33,93,381.70",93481
19-Jan-2026,EQ,"895.00","898.95","888.60","896.45","892.15","892.05","893.20","1,104.30","577.00",1173321,"1,04,80,14,949.90",41056
16-Jan-2026,EQ,"910.60","915.00","893.70","909.95","898.05","896.45","899.65","1,104.30","577.00",2171062,"1,95,31,92,768.35",56302
14-Jan-2026,EQ,"908.00","917.05","903.00","908.00","910.50","909.95","910.19","1,104.30","577.00",2425030,"2,20,72,30,575.85",69645
13-Jan-2026,EQ,"893.50","911.00","887.40","893.30","910.00","908.00","899.30","1,104.30","577.00",978014,"87,95,26,324.50",24935
12-Jan-2026,EQ,"903.05","905.00","878.35","903.05","892.90","893.30","888.67","1,104.30","577.00",1629908,"1,44,84,48,206.60",48222
09-Jan-2026,EQ,"913.35","928.20","901.30","917.05","902.40","903.05","912.41","1,104.30","577.00",1355905,"1,23,71,37,930.00",64453
08-Jan-2026,EQ,"939.65","940.95","912.75","940.85","919.00","917.05","925.95","1,104.30","577.00",1678214,"1,55,39,38,646.65",55736
07-Jan-2026,EQ,"950.00","950.05","935.20","945.00","940.90","940.85","942.80","1,104.30","577.00",2034953,"1,91,85,48,570.90",79219
06-Jan-2026,EQ,"915.45","950.45","914.00","915.45","949.00","945.00","936.29","1,104.30","577.00",3869929,"3,62,33,65,639.60",66181
05-Jan-2026,EQ,"919.30","920.00","904.10","914.75","915.00","915.45","914.81","1,104.30","577.00",1482946,"1,35,66,10,723.10",40771
02-Jan-2026,EQ,"906.30","923.55","896.30","900.55","915.65","914.75","913.03","1,104.30","577.00",1811265,"1,65,37,32,603.35",54113
01-Jan-2026,EQ,"885.00","903.00","878.00","884.00","902.20","900.55","889.20","1,104.30","577.00",910259,"80,94,00,662.10",35368
