DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"163.00","164.50","162.04","163.47","163.60","163.72","163.47","202.79","150.52",13190080,"2,15,61,89,305.05",112299
11-Feb-2026,EQ,"164.64","164.64","161.80","164.55","163.25","163.47","163.11","202.79","150.52",8859790,"1,44,51,12,361.90",87777
10-Feb-2026,EQ,"163.79","167.12","163.70","163.64","164.36","164.55","165.22","202.79","150.52",14629394,"2,41,70,92,115.20",66408
09-Feb-2026,EQ,"163.20","164.24","162.50","162.99","164.02","163.64","163.32","202.79","150.52",14553493,"2,37,69,02,780.71",111447
06-Feb-2026,EQ,"160.00","163.62","159.03","160.18","163.20","162.99","161.42","202.79","150.52",15057595,"2,43,06,04,880.45",66004
05-Feb-2026,EQ,"161.52","161.60","159.41","165.41","160.10","160.18","160.25","202.79","150.52",13323350,"2,13,50,06,034.85",82475
04-Feb-2026,EQ,"163.69","165.80","162.80","162.80","165.71","165.41","164.77","202.79","150.52",15626744,"2,57,47,64,491.12",76467
03-Feb-2026,EQ,"165.40","166.49","161.40","160.39","163.07","162.80","163.02","202.79","150.52",32679436,"5,32,73,90,673.18",115105
02-Feb-2026,EQ,"162.69","162.69","157.80","162.42","160.55","160.39","159.83","202.79","150.52",17376481,"2,77,73,03,952.83",113198
01-Feb-2026,EQ,"165.00","166.69","158.86","167.29","162.49","162.42","163.45","202.79","150.52",11783930,"1,92,60,88,335.79",78450
30-Jan-2026,EQ,"167.35","168.10","165.21","167.38","167.05","167.29","166.56","202.79","150.52",15845745,"2,63,91,94,601.95",64833
29-Jan-2026,EQ,"168.15","171.95","165.75","168.14","167.01","167.38","168.48","202.79","150.52",15216722,"2,56,36,38,729.92",76952
28-Jan-2026,EQ,"161.10","168.67","161.10","159.98","168.12","168.14","165.83","202.79","150.52",11194053,"1,85,63,51,453.59",67525
27-Jan-2026,EQ,"160.81","161.40","158.36","160.81","161.10","159.98","159.28","202.79","150.52",20808770,"3,31,44,04,912.43",101977
23-Jan-2026,EQ,"165.00","165.04","160.00","163.57","160.85","160.81","161.61","202.79","150.52",8178368,"1,32,16,77,887.12",50727
22-Jan-2026,EQ,"163.69","164.62","162.41","162.68","163.83","163.57","163.40","202.79","150.52",12111105,"1,97,90,01,140.85",57154
21-Jan-2026,EQ,"161.21","165.26","159.79","161.21","162.35","162.68","162.56","202.79","150.52",16082935,"2,61,44,35,584.49",69966
20-Jan-2026,EQ,"164.00","164.61","160.63","164.72","161.00","161.21","162.33","202.79","150.52",6841149,"1,11,05,28,710.05",59900
19-Jan-2026,EQ,"164.24","165.66","163.59","164.24","164.10","164.72","164.45","202.79","150.52",4566527,"75,09,46,441.50",53360
