DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"588.15","650.00","585.90","591.30","630.00","633.00","639.35","876.35","506.10",7519544,"4,80,76,07,855.20",117513
11-Feb-2026,EQ,"593.00","602.00","581.45","595.35","592.60","591.30","588.47","876.35","506.10",180886,"10,64,46,720.60",9618
10-Feb-2026,EQ,"583.00","597.80","577.05","582.25","594.00","595.35","591.36","876.35","506.10",201905,"11,93,98,857.60",10972
09-Feb-2026,EQ,"563.55","584.70","555.85","553.60","582.80","582.25","575.11","876.35","506.10",337193,"19,39,23,881.10",18910
06-Feb-2026,EQ,"553.80","556.60","545.80","553.75","555.50","553.60","549.75","876.35","506.10",63685,"3,50,10,951.05",5183
05-Feb-2026,EQ,"558.45","566.50","549.95","558.45","552.00","553.75","558.57","876.35","506.10",120012,"6,70,35,014.65",9131
04-Feb-2026,EQ,"551.20","568.00","546.05","548.35","558.95","558.45","558.90","876.35","506.10",149185,"8,33,79,632.80",9298
03-Feb-2026,EQ,"571.90","580.50","546.30","554.10","550.40","548.35","555.18","876.35","506.10",155792,"8,64,92,501.60",9884
02-Feb-2026,EQ,"525.00","561.90","514.00","519.25","555.00","554.10","546.28","876.35","506.10",1168602,"63,83,78,833.55",30425
01-Feb-2026,EQ,"535.75","542.80","517.80","533.55","518.60","519.25","530.76","876.35","506.10",86531,"4,59,27,118.85",5999
30-Jan-2026,EQ,"523.60","535.75","517.45","523.60","534.50","533.55","529.19","876.35","506.10",86238,"4,56,35,954.70",5909
29-Jan-2026,EQ,"537.70","537.70","518.05","530.90","525.00","523.60","522.86","876.35","506.10",93285,"4,87,74,575.45",8029
28-Jan-2026,EQ,"517.30","534.95","515.20","517.30","534.00","530.90","524.21","876.35","506.10",104318,"5,46,84,770.45",7958
27-Jan-2026,EQ,"513.00","535.40","506.10","513.00","521.35","517.30","520.22","876.35","506.10",262723,"13,66,73,120.40",19528
23-Jan-2026,EQ,"525.00","526.65","511.00","524.45","512.50","513.00","516.65","876.35","511.00",61614,"3,18,33,177.35",6338
22-Jan-2026,EQ,"525.65","527.00","517.15","517.90","525.85","524.45","521.52","876.35","512.00",70773,"3,69,09,535.50",6531
21-Jan-2026,EQ,"521.95","524.70","512.00","521.95","519.05","517.90","518.82","876.35","512.00",132736,"6,88,65,536.95",12484
20-Jan-2026,EQ,"539.00","542.40","518.30","542.45","521.95","521.95","529.67","876.35","518.30",191422,"10,13,90,781.60",10166
19-Jan-2026,EQ,"531.85","550.00","531.20","540.05","546.90","542.45","541.59","876.35","531.20",124950,"6,76,71,730.90",8607
