DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Feb-2026,EQ,"781.60","859.15","760.00","781.05","845.20","844.20","826.98","1,060.00","531.00",4388280,"3,62,90,03,419.60",91553
12-Feb-2026,EQ,"746.70","805.00","738.10","746.75","780.00","781.05","779.40","1,060.00","531.00",3060643,"2,38,54,51,924.05",58474
11-Feb-2026,EQ,"772.55","778.80","744.00","772.75","747.45","746.75","754.82","1,060.00","531.00",1376577,"1,03,90,63,250.25",36513
10-Feb-2026,EQ,"810.00","827.95","760.00","840.80","774.00","772.75","797.33","1,060.00","531.00",2896751,"2,30,96,80,883.35",54404
09-Feb-2026,EQ,"815.00","850.00","802.00","781.50","840.90","840.80","825.50","1,060.00","531.00",3724232,"3,07,43,62,524.20",75686
06-Feb-2026,EQ,"800.95","800.95","770.00","812.00","781.90","781.50","784.46","1,060.00","531.00",1259653,"98,81,50,933.20",32621
05-Feb-2026,EQ,"832.50","844.00","806.15","832.85","812.75","812.00","821.98","1,060.00","531.00",4394669,"3,61,23,34,251.05",95392
04-Feb-2026,EQ,"778.40","832.85","751.25","694.05","832.85","832.85","807.77","1,060.00","531.00",14221520,"11,48,77,50,662.50",190868
03-Feb-2026,EQ,"694.05","694.05","694.05","578.40","694.05","694.05","694.05","1,060.00","531.00",285225,"19,79,60,411.25",2844
02-Feb-2026,EQ,"609.25","609.25","565.00","609.25","581.80","578.40","580.29","1,060.00","531.00",1159037,"67,25,72,804.25",29458
01-Feb-2026,EQ,"553.35","627.75","545.00","550.05","608.95","609.25","601.62","1,060.00","531.00",4513793,"2,71,55,71,456.05",101885
30-Jan-2026,EQ,"542.85","569.30","535.40","541.95","554.05","550.05","555.70","1,060.00","531.00",771442,"42,86,89,181.80",24606
29-Jan-2026,EQ,"563.00","568.90","535.75","560.10","544.90","541.95","545.92","1,060.00","531.00",783814,"42,78,99,874.25",19470
28-Jan-2026,EQ,"556.95","580.95","539.20","542.70","562.00","560.10","557.96","1,060.00","531.00",2858128,"1,59,47,16,512.30",62964
27-Jan-2026,EQ,"582.00","585.10","531.00","557.45","542.00","542.70","547.43","1,060.00","531.00",3602959,"1,97,23,54,980.40",110715
23-Jan-2026,EQ,"605.00","605.75","550.30","597.55","553.00","557.45","566.24","1,120.65","547.20",690214,"39,08,29,773.50",36481
22-Jan-2026,EQ,"580.00","599.90","572.55","563.95","596.00","597.55","591.90","1,120.65","547.20",867745,"51,36,17,355.00",32686
21-Jan-2026,EQ,"562.00","569.50","547.20","560.85","564.00","563.95","559.98","1,120.65","547.20",694124,"38,86,94,341.55",22568
20-Jan-2026,EQ,"590.80","598.10","551.50","590.30","555.30","560.85","572.94","1,120.65","551.50",474720,"27,19,84,675.00",13741
19-Jan-2026,EQ,"604.75","604.80","586.00","604.75","593.00","590.30","594.54","1,120.65","586.00",365787,"21,74,74,215.35",12944
16-Jan-2026,EQ,"606.50","618.00","600.00","598.95","606.00","604.75","608.70","1,136.95","595.00",463740,"28,22,76,506.15",17159
14-Jan-2026,EQ,"601.20","606.00","595.10","597.95","602.00","598.95","600.91","1,136.95","595.00",517642,"31,10,55,625.65",16450
13-Jan-2026,EQ,"621.75","635.00","595.00","616.35","598.30","597.95","610.56","1,136.95","595.00",1412336,"86,23,10,587.65",37978
12-Jan-2026,EQ,"648.00","648.50","607.95","653.45","614.75","616.35","620.11","1,136.95","596.65",1799673,"1,11,60,03,975.50",50408
09-Jan-2026,EQ,"626.20","660.00","618.65","626.20","652.50","653.45","643.37","1,150.90","596.65",1257376,"80,89,61,127.00",31315
08-Jan-2026,EQ,"682.70","682.70","596.65","684.70","629.95","626.20","618.30","1,150.90","596.65",3872446,"2,39,43,51,869.45",114889
07-Jan-2026,EQ,"670.00","690.30","664.00","672.65","682.10","684.70","681.26","1,150.90","664.00",432189,"29,44,32,137.30",17197
06-Jan-2026,EQ,"702.95","704.95","669.00","702.85","671.00","672.65","681.08","1,150.90","668.10",650562,"44,30,82,308.65",32888
05-Jan-2026,EQ,"718.00","719.95","701.00","718.20","702.05","702.85","707.13","1,150.90","668.10",324563,"22,95,08,758.45",21234
02-Jan-2026,EQ,"730.05","739.05","714.30","732.10","718.50","718.20","725.67","1,158.35","668.10",486889,"35,33,19,727.80",28248
01-Jan-2026,EQ,"742.10","747.00","728.15","742.10","730.00","732.10","732.86","1,158.35","668.10",463218,"33,94,75,037.95",10102
31-Dec-2025,EQ,"740.00","763.00","727.00","735.40","737.00","742.10","737.23","1,158.35","668.10",476196,"35,10,65,862.45",26258
30-Dec-2025,EQ,"755.50","762.60","733.40","757.55","736.15","735.40","743.49","1,158.35","668.10",313967,"23,34,32,266.70",15124
29-Dec-2025,EQ,"784.95","787.45","753.10","780.95","758.00","757.55","770.83","1,158.35","668.10",248998,"19,19,35,757.80",13922
26-Dec-2025,EQ,"780.85","784.70","776.05","784.70","784.50","780.95","780.87","1,194.40","668.10",97320,"7,59,94,192.00",4704
24-Dec-2025,EQ,"798.50","798.50","783.10","793.50","783.15","784.70","786.18","1,194.40","668.10",143322,"11,26,76,835.65",7155
23-Dec-2025,EQ,"796.00","799.70","787.10","790.55","792.65","793.50","793.44","1,194.40","668.10",169738,"13,46,77,155.50",7684
22-Dec-2025,EQ,"796.30","801.85","785.00","793.90","788.05","790.55","792.01","1,194.40","668.10",120475,"9,54,17,089.25",6051
19-Dec-2025,EQ,"792.20","797.20","777.70","784.30","793.00","793.90","788.96","1,262.15","668.10",216309,"17,06,59,133.55",9855
