DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"4,136.70","4,189.80","4,083.20","4,133.00","4,178.80","4,158.90","4,134.95","5,165.00","3,046.05",2759493,"11,41,03,66,803.00",148759
11-Feb-2026,EQ,"4,195.90","4,195.90","4,107.00","4,168.30","4,124.00","4,133.00","4,124.74","5,165.00","3,046.05",916944,"3,78,21,56,112.40",57970
10-Feb-2026,EQ,"4,151.00","4,189.80","4,137.20","4,131.00","4,151.00","4,168.30","4,165.51","5,165.00","3,046.05",1000376,"4,16,70,71,929.10",56607
09-Feb-2026,EQ,"4,066.10","4,151.00","4,014.10","4,067.50","4,151.00","4,131.00","4,097.90","5,165.00","3,046.05",1664057,"6,81,91,44,258.60",99527
06-Feb-2026,EQ,"4,030.00","4,074.00","3,985.00","4,035.50","4,066.00","4,067.50","4,035.05","5,165.00","3,046.05",2094080,"8,44,97,11,290.80",122547
05-Feb-2026,EQ,"4,121.00","4,125.00","3,952.00","4,217.10","4,030.00","4,035.50","4,018.03","5,165.00","3,046.05",6343724,"25,48,92,76,816.50",340190
04-Feb-2026,EQ,"4,410.00","4,413.00","4,097.60","4,470.40","4,213.90","4,217.10","4,214.49","5,165.00","3,046.05",5290920,"22,29,85,33,756.30",358612
03-Feb-2026,EQ,"4,500.00","4,608.10","4,410.10","4,338.70","4,467.00","4,470.40","4,475.43","5,165.00","3,046.05",1450873,"6,49,32,75,023.70",102502
02-Feb-2026,EQ,"4,415.00","4,453.80","4,207.10","4,376.90","4,348.00","4,338.70","4,281.34","5,165.00","3,046.05",2563637,"10,97,58,04,068.10",186630
01-Feb-2026,EQ,"4,659.00","4,710.00","4,165.00","4,619.40","4,370.00","4,376.90","4,504.33","5,165.00","3,046.05",4034039,"18,17,06,58,080.50",293853
30-Jan-2026,EQ,"4,620.00","4,634.80","4,541.00","4,601.00","4,623.00","4,619.40","4,602.48","5,165.00","3,046.05",1582165,"7,28,18,80,382.50",88463
29-Jan-2026,EQ,"4,659.00","4,670.00","4,553.10","4,624.00","4,613.50","4,601.00","4,603.74","5,165.00","3,046.05",1301527,"5,99,18,88,857.10",97172
28-Jan-2026,EQ,"4,370.00","4,638.60","4,361.50","4,348.50","4,633.00","4,624.00","4,532.69","5,165.00","3,046.05",1837685,"8,32,96,60,769.00",104208
27-Jan-2026,EQ,"4,349.90","4,377.30","4,271.70","4,305.70","4,370.00","4,348.50","4,317.02","5,165.00","3,046.05",1042386,"4,50,00,00,316.50",77314
23-Jan-2026,EQ,"4,375.00","4,375.00","4,294.40","4,353.20","4,310.00","4,305.70","4,323.64","5,165.00","3,046.05",704843,"3,04,74,89,597.00",45342
22-Jan-2026,EQ,"4,299.00","4,367.00","4,290.60","4,259.40","4,366.80","4,353.20","4,328.89","5,165.00","3,046.05",725419,"3,14,02,60,887.60",52776
21-Jan-2026,EQ,"4,315.00","4,337.60","4,235.00","4,355.20","4,260.90","4,259.40","4,286.40","5,165.00","3,046.05",1113913,"4,77,46,77,621.20",96080
20-Jan-2026,EQ,"4,504.30","4,525.00","4,327.00","4,504.30","4,350.00","4,355.20","4,411.54","5,165.00","3,046.05",1194605,"5,27,00,43,920.60",81646
19-Jan-2026,EQ,"4,427.00","4,517.00","4,414.10","4,428.70","4,502.00","4,504.30","4,480.94","5,165.00","3,046.05",792050,"3,54,91,29,681.30",43294
16-Jan-2026,EQ,"4,485.00","4,488.00","4,367.60","4,461.40","4,434.90","4,428.70","4,417.08","5,165.00","3,046.05",1576883,"6,96,52,14,259.90",87843
14-Jan-2026,EQ,"4,452.40","4,501.00","4,422.00","4,452.40","4,463.00","4,461.40","4,468.14","5,165.00","3,046.05",597515,"2,66,97,78,843.20",41968
13-Jan-2026,EQ,"4,525.00","4,559.90","4,400.40","4,518.40","4,454.00","4,452.40","4,464.92","5,165.00","3,046.05",753776,"3,36,55,47,197.10",48727
12-Jan-2026,EQ,"4,480.00","4,528.50","4,417.90","4,462.10","4,521.00","4,518.40","4,475.68","5,165.00","3,046.05",744251,"3,33,10,28,019.60",49673
09-Jan-2026,EQ,"4,466.80","4,543.00","4,440.00","4,479.80","4,462.00","4,462.10","4,493.66","5,165.00","3,046.05",1017357,"4,57,16,58,754.80",53806
08-Jan-2026,EQ,"4,526.00","4,579.00","4,465.60","4,525.10","4,469.90","4,479.80","4,532.90","5,165.00","3,046.05",966719,"4,38,20,41,699.20",55757
07-Jan-2026,EQ,"4,516.00","4,536.00","4,480.00","4,516.00","4,525.00","4,525.10","4,511.69","5,165.00","3,046.05",439887,"1,98,46,33,905.20",34329
06-Jan-2026,EQ,"4,528.30","4,547.70","4,478.60","4,526.10","4,505.10","4,516.00","4,514.53","5,165.00","3,046.05",530874,"2,39,66,47,281.20",37023
05-Jan-2026,EQ,"4,418.00","4,544.90","4,417.80","4,417.80","4,524.00","4,526.10","4,514.96","5,165.00","3,046.05",1256096,"5,67,12,19,620.50",70245
02-Jan-2026,EQ,"4,413.10","4,429.00","4,380.00","4,397.90","4,418.00","4,417.80","4,409.22","5,165.00","3,046.05",597270,"2,63,34,95,329.20",49222
01-Jan-2026,EQ,"4,388.70","4,414.40","4,342.60","4,388.70","4,400.00","4,397.90","4,380.42","5,165.00","3,046.05",384408,"1,68,38,68,865.40",24895
31-Dec-2025,EQ,"4,326.00","4,400.00","4,326.00","4,325.50","4,386.00","4,388.70","4,383.20","5,165.00","3,046.05",512109,"2,24,46,76,147.30",31585
30-Dec-2025,EQ,"4,380.00","4,382.40","4,305.00","4,374.30","4,319.90","4,325.50","4,334.60","5,165.00","3,046.05",1064901,"4,61,59,22,294.20",72232
29-Dec-2025,EQ,"4,434.00","4,458.20","4,359.40","4,409.20","4,374.00","4,374.30","4,420.38","5,165.00","3,046.05",778626,"3,44,18,26,066.40",42595
26-Dec-2025,EQ,"4,445.00","4,476.00","4,401.10","4,421.30","4,412.90","4,409.20","4,443.54","5,165.00","3,046.05",690425,"3,06,79,27,960.90",43823
24-Dec-2025,EQ,"4,415.00","4,460.00","4,397.40","4,407.40","4,420.00","4,421.30","4,437.51","5,165.00","3,046.05",486359,"2,15,82,21,205.90",35074
23-Dec-2025,EQ,"4,400.00","4,451.20","4,368.50","4,386.10","4,409.80","4,407.40","4,419.67","5,165.00","3,046.05",587365,"2,59,59,60,558.90",37291
22-Dec-2025,EQ,"4,311.70","4,392.00","4,307.10","4,305.30","4,383.00","4,386.10","4,363.05","5,165.00","3,046.05",657486,"2,86,86,42,016.60",38835
19-Dec-2025,EQ,"4,269.90","4,314.00","4,251.40","4,259.50","4,302.50","4,305.30","4,290.84","5,165.00","3,046.05",650177,"2,78,98,04,980.60",40778
18-Dec-2025,EQ,"4,228.40","4,268.40","4,192.60","4,228.40","4,250.30","4,259.50","4,237.79","5,165.00","3,046.05",557768,"2,36,37,05,664.90",40845
17-Dec-2025,EQ,"4,260.50","4,270.00","4,218.20","4,261.40","4,225.00","4,228.40","4,237.90","5,165.00","3,046.05",645807,"2,73,68,66,487.10",41483
16-Dec-2025,EQ,"4,324.00","4,329.40","4,242.90","4,321.60","4,252.00","4,261.40","4,261.81","5,165.00","3,046.05",1006671,"4,29,02,41,086.40",64242
15-Dec-2025,EQ,"4,252.00","4,342.00","4,252.00","4,302.50","4,323.40","4,321.60","4,314.06","5,165.00","3,046.05",827861,"3,57,14,44,326.10",49010
12-Dec-2025,EQ,"4,333.00","4,359.90","4,257.30","4,320.80","4,296.00","4,302.50","4,317.36","5,165.00","3,046.05",791726,"3,41,81,64,711.20",60361
11-Dec-2025,EQ,"4,300.00","4,334.40","4,286.00","4,294.10","4,314.30","4,320.80","4,312.56","5,165.00","3,046.05",460221,"1,98,47,29,829.10",31855
10-Dec-2025,EQ,"4,310.50","4,332.40","4,271.00","4,303.00","4,294.00","4,294.10","4,292.47","5,165.00","3,046.05",949813,"4,07,70,41,281.40",57513
09-Dec-2025,EQ,"4,272.50","4,314.00","4,187.00","4,287.10","4,311.00","4,303.00","4,253.09","5,165.00","3,046.05",1674288,"7,12,08,95,229.10",89143
08-Dec-2025,EQ,"4,443.00","4,448.00","4,270.50","4,443.00","4,280.00","4,287.10","4,341.94","5,165.00","3,046.05",1757606,"7,63,14,20,282.10",130981
05-Dec-2025,EQ,"4,519.00","4,544.30","4,430.00","4,496.80","4,441.70","4,443.00","4,467.61","5,165.00","3,046.05",1473356,"6,58,23,76,600.70",72121
04-Dec-2025,EQ,"4,459.00","4,525.00","4,422.30","4,436.30","4,520.00","4,496.80","4,479.25","5,165.00","3,046.05",1020941,"4,57,30,53,707.20",64877
03-Dec-2025,EQ,"4,517.00","4,525.00","4,420.90","4,508.50","4,435.10","4,436.30","4,450.52","5,165.00","3,046.05",1027500,"4,57,29,06,991.90",67794
02-Dec-2025,EQ,"4,525.00","4,532.30","4,482.20","4,530.70","4,517.00","4,508.50","4,504.99","5,165.00","3,046.05",652604,"2,93,99,76,724.60",52255
01-Dec-2025,EQ,"4,562.00","4,584.00","4,501.10","4,542.40","4,525.00","4,530.70","4,532.86","5,165.00","3,046.05",750897,"3,40,37,13,710.90",66090
28-Nov-2025,EQ,"4,489.90","4,549.00","4,477.00","4,483.20","4,540.00","4,542.40","4,523.56","5,165.00","3,046.05",786275,"3,55,67,60,579.70",56198
27-Nov-2025,EQ,"4,535.00","4,535.00","4,461.00","4,517.80","4,489.90","4,483.20","4,487.62","5,165.00","3,046.05",721812,"3,23,92,21,289.40",59599
26-Nov-2025,EQ,"4,457.00","4,522.00","4,449.90","4,441.60","4,511.00","4,517.80","4,491.77","5,165.00","3,046.05",717411,"3,22,24,41,839.70",49744
25-Nov-2025,EQ,"4,450.00","4,477.00","4,430.00","4,445.10","4,440.00","4,441.60","4,448.71","5,165.00","3,046.05",1197615,"5,32,78,40,818.80",74176
24-Nov-2025,EQ,"4,425.00","4,502.50","4,405.00","4,595.00","4,440.90","4,445.10","4,450.38","5,165.00","3,046.05",3443005,"15,32,26,64,887.70",185401
21-Nov-2025,EQ,"4,707.00","4,708.00","4,585.00","4,716.60","4,593.00","4,595.00","4,627.93","5,165.00","3,046.05",1158530,"5,36,15,97,589.60",94351
20-Nov-2025,EQ,"4,763.90","4,775.80","4,710.00","4,744.20","4,729.00","4,716.60","4,741.20","5,165.00","3,046.05",798346,"3,78,51,16,761.90",54550
19-Nov-2025,EQ,"4,805.00","4,822.20","4,735.00","4,807.90","4,740.00","4,744.20","4,764.98","5,165.00","3,046.05",847006,"4,03,59,68,465.80",66769
18-Nov-2025,EQ,"4,814.00","4,857.00","4,788.00","4,795.20","4,815.00","4,807.90","4,828.69","5,165.00","3,046.05",958797,"4,62,97,36,235.40",56206
17-Nov-2025,EQ,"4,742.00","4,820.00","4,732.80","4,729.80","4,814.00","4,795.20","4,774.15","5,165.00","3,046.05",1177546,"5,62,17,86,757.00",82723
14-Nov-2025,EQ,"4,747.00","4,775.00","4,710.10","4,751.00","4,728.40","4,729.80","4,734.72","5,165.00","3,046.05",681735,"3,22,78,24,723.90",45747
13-Nov-2025,EQ,"4,736.00","4,771.20","4,636.70","4,748.50","4,745.20","4,751.00","4,727.46","5,165.00","3,046.05",1280728,"6,05,45,88,920.70",89282
12-Nov-2025,EQ,"4,885.00","4,921.00","4,702.00","4,862.60","4,732.70","4,748.50","4,801.78","5,165.00","3,046.05",2723105,"13,07,57,62,803.90",145879
