DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"606.00","628.70","602.05","603.70","625.35","624.70","620.57","760.05","183.82",27778672,"17,23,86,23,905.65",304148
11-Feb-2026,EQ,"601.00","607.45","593.80","597.55","606.45","603.70","599.00","760.05","183.82",10230524,"6,12,80,64,275.15",119851
10-Feb-2026,EQ,"610.00","610.00","595.00","598.00","597.00","597.55","600.61","760.05","183.82",12379419,"7,43,51,64,297.75",167499
09-Feb-2026,EQ,"594.25","610.50","592.85","579.85","599.00","598.00","601.93","760.05","183.82",24271749,"14,60,98,54,516.70",281516
06-Feb-2026,EQ,"587.40","601.15","575.75","607.30","578.20","579.85","584.07","760.05","183.82",27714476,"16,18,71,35,613.00",316850
05-Feb-2026,EQ,"588.00","620.00","577.60","613.65","612.00","607.30","600.56","760.05","183.82",31154519,"18,71,00,20,903.45",371333
04-Feb-2026,EQ,"624.75","642.00","607.75","614.75","612.00","613.65","625.48","760.05","183.82",35143075,"21,98,11,19,062.45",404759
03-Feb-2026,EQ,"639.90","658.00","610.00","610.55","614.90","614.75","621.79","760.05","183.82",45672234,"28,39,83,10,353.45",554069
02-Feb-2026,EQ,"590.15","638.55","581.55","599.25","610.00","610.55","608.85","760.05","183.82",70707887,"43,05,07,68,949.85",892430
01-Feb-2026,EQ,"619.95","619.95","555.10","685.90","596.00","599.25","595.11","760.05","183.82",88029787,"52,38,73,72,921.75",1140741
30-Jan-2026,EQ,"726.00","736.50","671.25","760.05","675.95","685.90","699.40","760.05","183.82",113198070,"79,17,03,34,887.85",1519271
29-Jan-2026,EQ,"662.50","760.05","662.00","633.40","760.05","760.05","723.49","760.05","183.82",138633007,"1,00,29,92,80,013.05",1370635
28-Jan-2026,EQ,"568.80","643.00","564.25","562.15","637.90","633.40","615.72","643.00","183.82",108310220,"66,68,86,01,185.25",913769
27-Jan-2026,EQ,"551.70","563.90","544.25","535.90","563.60","562.15","554.07","576.00","183.82",27820698,"15,41,46,52,422.05",319592
23-Jan-2026,EQ,"544.00","555.95","532.50","532.05","539.00","535.90","546.34","576.00","183.82",29167207,"15,93,52,17,903.75",288538
22-Jan-2026,EQ,"561.00","564.35","525.30","557.30","532.10","532.05","535.64","576.00","183.82",27205079,"14,57,21,04,457.85",331708
21-Jan-2026,EQ,"532.55","559.50","523.65","531.95","558.00","557.30","543.78","576.00","183.82",37306733,"20,28,64,74,327.50",400164
20-Jan-2026,EQ,"549.00","555.45","530.00","547.80","532.45","531.95","542.73","576.00","183.82",28225843,"15,31,89,50,631.05",299755
19-Jan-2026,EQ,"570.00","571.00","545.10","561.45","548.75","547.80","556.92","576.00","183.82",26702316,"14,87,10,71,124.05",275410
16-Jan-2026,EQ,"571.75","572.50","558.90","572.80","561.75","561.45","564.75","576.00","183.82",28544988,"16,12,08,97,833.15",301321
14-Jan-2026,EQ,"548.05","576.00","545.65","539.45","569.00","572.80","562.44","576.00","183.82",53419763,"30,04,53,65,987.95",439181
13-Jan-2026,EQ,"550.00","554.60","535.00","545.70","539.35","539.45","546.56","575.00","183.82",29862998,"16,32,17,71,850.35",264325
12-Jan-2026,EQ,"532.00","548.00","523.40","520.80","547.50","545.70","536.78","575.00","183.82",52251830,"28,04,76,75,048.70",413563
09-Jan-2026,EQ,"519.25","533.25","511.30","520.75","523.25","520.80","524.37","575.00","183.82",34253643,"17,96,15,79,272.45",318113
08-Jan-2026,EQ,"543.90","543.90","518.55","551.25","521.50","520.75","528.67","575.00","183.82",41387603,"21,88,02,37,453.70",425315
07-Jan-2026,EQ,"574.80","575.00","548.00","565.25","551.00","551.25","558.26","575.00","183.82",35384649,"19,75,36,83,340.40",371461
06-Jan-2026,EQ,"568.50","574.60","562.00","552.60","564.80","565.25","567.82","574.60","183.82",38368185,"21,78,61,47,424.25",345211
05-Jan-2026,EQ,"554.95","570.00","550.00","541.90","552.80","552.60","560.63","570.00","183.82",52217841,"29,27,46,47,266.55",508890
