DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"192.00","202.94","191.50","193.24","201.99","201.93","198.77","253.73","158.85",22244997,"4,42,16,79,635.78",76895
11-Feb-2026,EQ,"194.00","194.41","190.82","193.91","193.70","193.24","192.33","253.73","158.85",2053871,"39,50,21,814.67",17620
10-Feb-2026,EQ,"195.20","196.45","193.00","194.87","193.50","193.91","194.88","253.73","158.85",2218744,"43,23,83,880.04",15905
09-Feb-2026,EQ,"193.25","195.55","193.00","192.17","194.50","194.87","194.56","253.73","158.85",2197501,"42,75,40,901.69",17161
06-Feb-2026,EQ,"193.00","193.00","187.25","194.74","191.99","192.17","190.03","253.73","158.85",4861093,"92,37,73,743.29",31050
05-Feb-2026,EQ,"197.00","198.50","192.81","197.14","194.44","194.74","195.28","253.73","158.85",2210358,"43,16,29,196.53",21940
04-Feb-2026,EQ,"191.52","198.60","190.10","191.52","197.00","197.14","195.79","253.73","158.85",5746523,"1,12,51,31,359.72",37377
03-Feb-2026,EQ,"197.00","197.78","188.51","187.79","191.40","191.52","191.76","253.73","158.85",5211799,"99,94,32,535.50",40712
02-Feb-2026,EQ,"192.00","192.00","178.00","192.50","188.30","187.79","183.21","253.73","158.85",11857108,"2,17,23,51,727.47",92906
01-Feb-2026,EQ,"193.40","200.71","188.40","191.65","190.90","192.50","194.89","253.73","158.85",8179865,"1,59,41,59,314.07",60114
30-Jan-2026,EQ,"197.90","197.90","188.63","203.97","191.47","191.65","192.68","253.73","158.85",12256692,"2,36,16,49,142.03",73058
29-Jan-2026,EQ,"205.00","207.30","201.82","204.33","203.85","203.97","204.18","253.73","158.85",3351539,"68,43,29,491.47",26395
28-Jan-2026,EQ,"198.99","204.55","196.76","198.13","204.15","204.33","201.01","253.73","158.85",3826196,"76,91,04,078.16",27742
27-Jan-2026,EQ,"196.10","199.95","193.45","195.96","199.93","198.13","196.40","253.73","158.85",7025304,"1,37,97,67,871.20",36337
23-Jan-2026,EQ,"207.25","207.74","193.96","207.11","195.50","195.96","198.29","253.73","158.85",7327876,"1,45,30,38,780.67",55187
22-Jan-2026,EQ,"207.00","209.99","204.10","203.14","208.00","207.11","207.18","253.73","158.85",2896592,"60,01,01,582.12",29750
21-Jan-2026,EQ,"206.00","207.60","201.30","205.81","203.90","203.14","204.26","253.73","158.85",4198595,"85,76,11,866.59",37971
20-Jan-2026,EQ,"213.50","213.55","204.30","213.14","205.73","205.81","208.42","253.73","158.85",3255149,"67,84,51,394.44",36426
19-Jan-2026,EQ,"215.00","215.18","211.99","215.27","212.80","213.14","213.47","253.73","158.85",1966337,"41,97,45,622.53",19458
16-Jan-2026,EQ,"217.58","219.13","214.40","216.64","214.90","215.27","216.70","253.73","158.85",1562525,"33,85,99,115.66",18332
14-Jan-2026,EQ,"215.00","217.89","214.40","215.04","216.55","216.64","216.72","253.73","158.85",1713446,"37,13,32,051.03",14968
13-Jan-2026,EQ,"217.55","219.47","212.70","217.52","215.30","215.04","215.46","253.73","158.85",2302407,"49,60,74,422.50",21419
12-Jan-2026,EQ,"214.99","218.40","210.93","214.91","217.55","217.52","215.30","253.73","158.85",4724520,"1,01,71,88,561.74",34994
09-Jan-2026,EQ,"218.00","221.47","214.21","217.53","214.99","214.91","217.49","253.73","158.85",3133294,"68,14,54,589.41",24793
