DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"430.65","433.85","423.15","426.95","432.05","432.50","428.73","617.70","347.50",6967117,"2,98,69,82,376.05",63362
11-Feb-2026,EQ,"433.90","435.35","423.00","433.90","427.60","426.95","428.48","617.70","347.50",8218913,"3,52,16,39,509.20",70817
10-Feb-2026,EQ,"441.00","445.00","429.40","437.35","432.25","433.90","436.29","617.70","347.50",27651390,"12,06,40,36,440.70",222021
09-Feb-2026,EQ,"405.00","442.95","395.20","380.25","436.00","437.35","425.08","617.70","347.50",73673179,"31,31,67,63,229.25",510155
06-Feb-2026,EQ,"377.60","382.00","364.70","376.15","380.70","380.25","373.34","617.70","347.50",5108188,"1,90,71,00,712.20",61417
05-Feb-2026,EQ,"387.95","387.95","371.50","387.20","378.90","376.15","377.53","617.70","347.50",4060005,"1,53,27,76,584.35",49983
04-Feb-2026,EQ,"383.95","391.40","380.45","383.95","386.50","387.20","386.95","617.70","347.50",3861744,"1,49,43,09,607.00",39344
03-Feb-2026,EQ,"388.00","394.05","379.15","365.50","383.00","383.95","384.55","617.70","347.50",6481717,"2,49,25,50,025.95",57930
02-Feb-2026,EQ,"368.95","369.85","355.85","368.90","367.95","365.50","361.18","617.70","347.50",4349733,"1,57,10,56,295.35",53006
01-Feb-2026,EQ,"365.45","385.30","351.50","361.65","366.20","368.90","370.00","617.70","347.50",7677751,"2,84,07,98,436.15",80539
30-Jan-2026,EQ,"365.25","367.80","359.60","368.40","360.50","361.65","362.87","617.70","347.50",4146294,"1,50,45,68,918.30",50579
29-Jan-2026,EQ,"367.45","370.00","357.15","367.95","365.30","368.40","364.97","617.70","347.50",7529146,"2,74,78,75,770.85",68522
28-Jan-2026,EQ,"371.30","376.75","363.40","368.90","368.00","367.95","369.18","617.70","347.50",5245185,"1,93,64,38,533.85",58675
27-Jan-2026,EQ,"372.80","372.80","347.50","367.20","370.55","368.90","363.15","617.70","347.50",12098840,"4,39,37,44,803.50",106926
23-Jan-2026,EQ,"378.25","381.80","365.25","373.55","368.50","367.20","372.53","617.70","365.25",12299275,"4,58,18,44,258.90",118528
22-Jan-2026,EQ,"398.45","403.85","369.85","396.55","378.45","373.55","384.20","617.70","369.85",18017001,"6,92,20,62,143.15",168727
21-Jan-2026,EQ,"452.00","452.00","389.10","451.45","397.20","396.55","406.03","617.70","389.10",37639138,"15,28,27,81,662.30",338885
20-Jan-2026,EQ,"462.00","465.40","449.20","458.85","452.95","451.45","457.83","617.70","399.40",5444055,"2,49,24,25,225.70",59668
19-Jan-2026,EQ,"468.00","471.85","446.50","467.50","457.00","458.85","456.28","617.70","399.40",7650562,"3,49,07,82,387.80",69391
16-Jan-2026,EQ,"480.90","480.90","463.00","480.40","466.45","467.50","468.25","617.70","399.40",6281291,"2,94,12,04,697.35",62989
14-Jan-2026,EQ,"493.30","493.35","475.50","495.45","480.90","480.40","482.06","617.70","399.40",6837010,"3,29,58,81,667.70",66589
