DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"1,058.70","1,065.35","1,046.00","1,055.15","1,062.00","1,062.90","1,059.67","1,314.30","933.80",3354447,"3,55,46,11,527.85",72145
11-Feb-2026,EQ,"1,025.00","1,056.65","1,023.10","1,021.50","1,055.50","1,055.15","1,048.67","1,314.30","933.80",4114147,"4,31,43,82,530.85",85128
10-Feb-2026,EQ,"1,010.50","1,024.20","1,009.45","1,010.00","1,021.70","1,021.50","1,016.90","1,314.30","933.80",4458942,"4,53,42,95,921.60",64319
09-Feb-2026,EQ,"1,040.05","1,042.40","1,007.60","1,039.85","1,010.50","1,010.00","1,019.48","1,314.30","933.80",3235020,"3,29,80,34,542.35",53620
06-Feb-2026,EQ,"1,042.70","1,042.70","1,008.00","1,040.80","1,040.00","1,039.85","1,029.10","1,314.30","933.80",3384955,"3,48,34,66,291.95",81992
05-Feb-2026,EQ,"1,027.35","1,046.15","1,008.10","1,025.45","1,038.00","1,040.80","1,032.41","1,314.30","933.80",3842206,"3,96,67,36,844.85",89730
04-Feb-2026,EQ,"1,000.00","1,031.00","996.10","1,003.50","1,022.50","1,025.45","1,018.07","1,314.30","933.80",1588624,"1,61,73,33,638.55",44905
03-Feb-2026,EQ,"1,011.00","1,011.05","964.70","958.10","1,006.05","1,003.50","997.27","1,314.30","933.80",4528070,"4,51,56,89,176.80",78929
02-Feb-2026,EQ,"980.00","980.00","933.80","976.70","958.95","958.10","950.64","1,314.30","933.80",2926581,"2,78,21,32,436.35",87088
01-Feb-2026,EQ,"958.00","996.40","950.60","956.80","974.25","976.70","980.57","1,314.30","940.00",4000115,"3,92,23,76,609.90",69060
30-Jan-2026,EQ,"945.00","964.00","940.00","952.60","957.20","956.80","954.81","1,314.30","940.00",5638365,"5,38,35,76,753.10",72009
29-Jan-2026,EQ,"955.00","959.10","944.30","958.60","951.00","952.60","951.53","1,314.30","940.05",3538048,"3,36,65,60,469.90",83457
28-Jan-2026,EQ,"963.90","979.00","954.10","975.50","960.00","958.60","961.72","1,314.30","940.05",4237532,"4,07,53,09,835.00",79490
27-Jan-2026,EQ,"1,000.00","1,000.00","965.40","991.40","975.10","975.50","975.61","1,314.30","940.05",4229886,"4,12,67,15,287.20",110147
23-Jan-2026,EQ,"1,000.00","1,007.20","987.40","998.80","991.40","991.40","996.56","1,314.30","940.05",2300849,"2,29,29,36,698.40",55688
22-Jan-2026,EQ,"1,010.00","1,013.40","990.50","1,004.20","999.50","998.80","998.19","1,314.30","940.05",2529564,"2,52,49,73,705.30",65698
21-Jan-2026,EQ,"985.00","1,010.40","976.70","992.90","1,006.00","1,004.20","996.99","1,314.30","940.05",3093573,"3,08,42,74,621.00",71345
20-Jan-2026,EQ,"1,010.10","1,013.10","988.00","1,013.60","990.00","992.90","999.69","1,314.30","940.05",2635707,"2,63,48,78,772.30",50813
19-Jan-2026,EQ,"1,035.00","1,038.40","1,010.50","1,037.00","1,011.00","1,013.60","1,018.03","1,314.30","940.05",2322646,"2,36,45,20,980.10",46034
16-Jan-2026,EQ,"1,029.00","1,040.10","1,022.70","1,033.60","1,033.50","1,037.00","1,032.04","1,314.30","940.05",2584321,"2,66,71,22,079.40",72317
14-Jan-2026,EQ,"1,019.00","1,040.00","1,019.00","1,028.20","1,034.60","1,033.60","1,032.90","1,314.30","940.05",3215727,"3,32,15,16,486.10",52128
13-Jan-2026,EQ,"1,013.70","1,031.70","1,003.30","1,013.70","1,029.90","1,028.20","1,015.64","1,314.30","940.05",2787265,"2,83,08,53,248.80",52449
12-Jan-2026,EQ,"1,012.00","1,019.80","994.00","1,017.20","1,015.90","1,013.70","1,007.19","1,314.30","940.05",2102413,"2,11,75,35,061.00",73637
09-Jan-2026,EQ,"1,028.30","1,032.80","1,008.00","1,029.80","1,017.10","1,017.20","1,017.20","1,314.30","940.05",2573775,"2,61,80,41,079.00",61173
