DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"367.50","374.45","366.50","367.70","370.00","369.70","370.66","431.50","137.75",7845057,"2,90,78,50,208.10",68222
11-Feb-2026,EQ,"368.10","371.70","365.80","368.65","368.50","367.70","368.38","431.50","137.75",9020339,"3,32,29,20,797.10",76044
10-Feb-2026,EQ,"369.00","370.35","363.55","365.20","368.10","368.65","367.00","431.50","137.75",8272261,"3,03,59,16,535.95",73238
09-Feb-2026,EQ,"358.25","368.90","358.25","354.65","365.50","365.20","364.02","431.50","137.75",8166050,"2,97,26,10,320.65",86022
06-Feb-2026,EQ,"356.00","357.50","349.55","363.85","353.40","354.65","352.87","431.50","137.75",12608116,"4,44,90,29,610.15",106051
05-Feb-2026,EQ,"360.00","365.60","352.25","374.90","364.40","363.85","360.83","431.50","137.75",12183411,"4,39,61,59,103.10",121590
04-Feb-2026,EQ,"371.95","378.50","370.75","370.85","375.00","374.90","375.04","431.50","137.75",9413750,"3,53,05,74,077.75",106926
03-Feb-2026,EQ,"389.90","391.95","361.05","369.70","371.50","370.85","370.58","431.50","137.75",27221983,"10,08,78,25,366.30",176888
02-Feb-2026,EQ,"347.10","371.80","342.00","354.20","371.50","369.70","363.30","431.50","137.75",31185668,"11,32,97,40,896.10",244329
01-Feb-2026,EQ,"353.00","364.45","329.40","385.45","353.30","354.20","352.29","431.50","137.75",38640299,"13,61,27,15,707.85",262513
30-Jan-2026,EQ,"413.90","413.90","380.15","428.85","383.00","385.45","393.17","431.50","137.75",40709006,"16,00,54,80,804.90",299000
29-Jan-2026,EQ,"411.90","431.50","411.55","406.15","428.40","428.85","423.40","431.50","137.75",39396481,"16,68,03,33,641.15",263936
28-Jan-2026,EQ,"388.30","407.90","383.95","384.60","407.70","406.15","399.42","407.90","137.75",22117381,"8,83,40,18,778.35",162875
27-Jan-2026,EQ,"375.55","385.90","373.80","370.65","385.40","384.60","379.92","385.90","137.75",15593346,"5,92,41,97,304.15",105464
23-Jan-2026,EQ,"366.85","382.65","365.40","364.60","371.50","370.65","376.27","382.65","137.75",22954119,"8,63,69,23,673.85",159339
22-Jan-2026,EQ,"363.00","368.00","356.80","361.50","364.95","364.60","363.16","374.30","137.75",12526200,"4,54,89,57,223.25",101687
21-Jan-2026,EQ,"354.05","363.00","353.15","358.95","362.90","361.50","358.85","374.30","137.75",12016882,"4,31,22,42,713.05",89509
20-Jan-2026,EQ,"367.50","370.80","357.20","368.65","358.75","358.95","362.13","374.30","137.75",13324472,"4,82,52,11,186.50",105900
