DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"1,964.00","2,335.60","1,964.00","1,946.40","2,314.90","2,324.40","2,243.46","3,050.00","1,936.50",1036912,"2,32,62,70,610.10",65854
11-Feb-2026,EQ,"2,003.00","2,003.00","1,936.50","2,003.00","1,994.80","1,946.40","1,947.36","3,050.00","1,936.50",307319,"59,84,60,304.30",6020
10-Feb-2026,EQ,"2,003.60","2,071.80","1,984.50","2,003.60","2,009.20","2,003.00","2,015.20","3,050.00","1,943.50",42834,"8,63,19,205.80",6514
09-Feb-2026,EQ,"2,000.00","2,030.80","1,992.00","2,003.60","2,010.00","2,003.60","2,010.84","3,050.00","1,943.50",43901,"8,82,77,748.70",5855
06-Feb-2026,EQ,"2,032.20","2,049.90","1,961.00","2,032.20","1,975.00","2,003.60","2,015.53","3,050.00","1,943.50",19858,"4,00,24,356.30",3725
05-Feb-2026,EQ,"2,072.70","2,086.00","2,021.00","2,072.50","2,036.00","2,032.20","2,047.90","3,050.00","1,943.50",17591,"3,60,24,543.20",2478
04-Feb-2026,EQ,"2,080.00","2,126.10","2,063.30","2,098.40","2,069.90","2,072.50","2,083.35","3,050.00","1,943.50",17066,"3,55,54,513.50",2816
03-Feb-2026,EQ,"2,151.00","2,175.60","2,089.40","2,074.80","2,100.00","2,098.40","2,110.00","3,050.00","1,943.50",30610,"6,45,87,141.00",4937
02-Feb-2026,EQ,"2,121.00","2,136.20","2,052.00","2,138.60","2,091.70","2,074.80","2,088.46","3,050.00","1,943.50",26031,"5,43,64,734.00",3887
01-Feb-2026,EQ,"2,186.00","2,218.80","2,110.00","2,216.70","2,120.00","2,138.60","2,166.52","3,050.00","1,943.50",10788,"2,33,72,420.80",2664
30-Jan-2026,EQ,"2,025.20","2,399.90","2,003.80","2,034.00","2,150.00","2,216.70","2,170.27","3,050.00","1,943.50",27380,"5,94,22,038.40",3996
29-Jan-2026,EQ,"2,080.00","2,080.00","2,025.50","2,064.60","2,044.90","2,034.00","2,041.33","3,050.00","1,943.50",8648,"1,76,53,405.00",2448
28-Jan-2026,EQ,"2,021.10","2,079.60","2,021.10","2,021.10","2,061.60","2,064.60","2,053.22","3,050.00","1,943.50",12424,"2,55,09,149.70",3979
27-Jan-2026,EQ,"2,007.00","2,044.10","1,966.80","2,007.00","2,027.40","2,021.10","2,014.08","3,050.00","1,943.50",13839,"2,78,72,912.00",4400
23-Jan-2026,EQ,"1,982.80","2,040.00","1,982.80","1,982.80","2,002.50","2,007.00","2,015.31","3,050.00","1,943.50",16464,"3,31,80,088.60",4198
22-Jan-2026,EQ,"2,036.00","2,050.50","1,943.50","2,021.00","2,014.00","1,982.80","1,993.40","3,050.00","1,943.50",29514,"5,88,33,096.40",5454
21-Jan-2026,EQ,"2,046.00","2,051.90","2,000.00","2,052.40","2,037.40","2,021.00","2,020.46","3,050.00","2,000.00",14467,"2,92,30,015.40",4367
20-Jan-2026,EQ,"2,112.50","2,182.70","2,041.00","2,123.30","2,045.10","2,052.40","2,093.66","3,050.00","2,041.00",30332,"6,35,04,757.20",5331
19-Jan-2026,EQ,"2,082.20","2,148.00","2,076.00","2,090.10","2,124.70","2,123.30","2,123.82","3,050.00","2,059.20",14723,"3,12,69,021.40",4184
16-Jan-2026,EQ,"2,172.90","2,187.70","2,059.20","2,171.80","2,093.10","2,090.10","2,116.21","3,153.55","2,059.20",24179,"5,11,67,949.20",4273
14-Jan-2026,EQ,"2,181.00","2,204.00","2,165.00","2,187.50","2,175.00","2,171.80","2,182.94","3,153.55","2,165.00",8540,"1,86,42,303.60",1926
13-Jan-2026,EQ,"2,205.00","2,216.80","2,175.10","2,201.70","2,204.00","2,187.50","2,185.95","3,153.55","2,175.10",25111,"5,48,91,443.10",4756
12-Jan-2026,EQ,"2,238.80","2,244.80","2,200.00","2,243.00","2,207.00","2,201.70","2,210.44","3,153.55","2,200.00",14178,"3,13,39,685.80",3694
09-Jan-2026,EQ,"2,271.00","2,271.20","2,220.20","2,278.40","2,233.70","2,243.00","2,245.59","3,221.95","2,220.20",11847,"2,66,03,548.40",2720
08-Jan-2026,EQ,"2,285.00","2,300.80","2,260.50","2,278.10","2,282.50","2,278.40","2,274.75","3,221.95","2,256.00",11605,"2,63,98,500.20",3006
07-Jan-2026,EQ,"2,304.40","2,304.40","2,256.50","2,287.30","2,272.00","2,278.10","2,270.56","3,221.95","2,256.00",16765,"3,80,65,856.80",3766
06-Jan-2026,EQ,"2,308.30","2,323.30","2,280.00","2,308.20","2,285.00","2,287.30","2,294.41","3,221.95","2,256.00",14395,"3,30,28,058.70",2154
05-Jan-2026,EQ,"2,342.20","2,378.00","2,300.00","2,354.00","2,305.00","2,308.20","2,328.60","3,221.95","2,256.00",75848,"17,66,19,989.10",4187
02-Jan-2026,EQ,"2,383.40","2,386.20","2,325.00","2,389.40","2,350.20","2,354.00","2,354.02","3,329.85","2,256.00",10932,"2,57,34,159.60",3082
01-Jan-2026,EQ,"2,392.90","2,395.80","2,349.20","2,380.50","2,390.00","2,389.40","2,382.98","3,329.85","2,256.00",6495,"1,54,77,483.00",1695
31-Dec-2025,EQ,"2,325.50","2,386.80","2,315.50","2,305.80","2,382.50","2,380.50","2,365.99","3,329.85","2,256.00",12364,"2,92,53,110.80",2761
30-Dec-2025,EQ,"2,346.60","2,364.00","2,290.00","2,348.00","2,330.00","2,305.80","2,319.16","3,329.85","2,256.00",23041,"5,34,35,857.80",4318
29-Dec-2025,EQ,"2,300.20","2,358.90","2,300.00","2,311.90","2,350.00","2,348.00","2,331.42","3,329.85","2,256.00",9558,"2,22,83,682.20",2953
26-Dec-2025,EQ,"2,319.90","2,329.80","2,300.00","2,314.70","2,310.00","2,311.90","2,309.90","3,344.90","2,256.00",8197,"1,89,34,224.80",1499
24-Dec-2025,EQ,"2,340.50","2,340.50","2,306.30","2,320.70","2,315.00","2,314.70","2,320.76","3,344.90","2,256.00",13659,"3,16,99,205.70",2583
