DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"78.90","81.50","78.05","77.38","78.26","78.98","79.93","107.50","68.13",53121380,"4,24,59,19,580.28",158281
11-Feb-2026,EQ,"73.00","78.46","71.91","72.80","77.95","77.38","76.47","107.50","68.13",26862506,"2,05,43,02,563.89",103913
10-Feb-2026,EQ,"73.70","73.88","72.70","73.31","72.80","72.80","73.10","107.50","68.13",3603081,"26,34,03,086.33",23462
09-Feb-2026,EQ,"72.88","73.43","72.41","72.26","73.30","73.31","73.05","107.50","68.13",3300872,"24,11,39,322.15",22611
06-Feb-2026,EQ,"72.00","72.54","71.70","72.19","72.30","72.26","72.18","107.50","68.13",3106246,"22,41,95,099.75",20958
05-Feb-2026,EQ,"73.95","73.96","72.00","73.98","72.10","72.19","72.69","107.50","68.13",3321595,"24,14,34,787.57",20809
04-Feb-2026,EQ,"72.07","74.40","71.42","72.13","74.05","73.98","73.46","107.50","68.13",5600113,"41,13,99,022.47",31253
03-Feb-2026,EQ,"73.45","73.88","71.41","70.62","72.20","72.13","72.10","107.50","68.13",5171109,"37,28,44,373.24",29746
02-Feb-2026,EQ,"71.28","71.50","68.13","71.22","70.89","70.62","69.65","107.50","68.13",6158282,"42,89,27,866.47",45887
01-Feb-2026,EQ,"73.21","74.19","70.41","72.50","71.25","71.22","72.54","107.50","69.75",4809433,"34,88,80,937.30",35725
30-Jan-2026,EQ,"72.42","74.13","71.35","72.42","72.60","72.50","72.58","107.50","69.75",6686901,"48,53,30,123.02",37667
29-Jan-2026,EQ,"74.50","74.71","72.30","74.22","72.39","72.42","73.09","107.50","69.75",5207484,"38,06,36,754.04",27519
28-Jan-2026,EQ,"71.99","74.48","71.91","71.56","74.30","74.22","73.35","107.50","69.75",5749693,"42,17,54,563.28",30895
27-Jan-2026,EQ,"71.05","72.10","69.75","70.86","72.00","71.56","71.08","107.50","69.75",4552913,"32,36,09,275.70",36351
23-Jan-2026,EQ,"73.10","73.10","70.60","72.52","70.72","70.86","71.43","107.50","69.85",3451164,"24,65,32,891.28",29861
22-Jan-2026,EQ,"73.20","73.20","71.96","71.37","72.62","72.52","72.56","107.50","69.85",3680823,"26,70,97,120.60",23248
21-Jan-2026,EQ,"71.81","72.43","70.59","71.81","71.79","71.37","71.50","107.50","69.85",7450301,"53,26,72,020.22",42026
20-Jan-2026,EQ,"74.52","74.78","70.92","74.52","71.90","71.81","72.71","107.50","69.85",7273564,"52,88,47,321.83",57493
19-Jan-2026,EQ,"76.47","76.95","74.35","76.47","74.79","74.52","75.23","107.50","69.85",4271612,"32,13,34,483.63",38162
16-Jan-2026,EQ,"78.90","79.30","75.15","78.71","76.25","76.47","77.09","107.50","69.85",8676362,"66,88,64,858.17",47183
14-Jan-2026,EQ,"79.41","79.57","78.22","79.42","78.79","78.71","78.84","107.50","69.85",3672850,"28,95,83,169.58",25925
13-Jan-2026,EQ,"80.53","81.38","79.05","80.53","79.30","79.42","80.03","107.50","69.85",7059809,"56,50,17,767.20",41394
12-Jan-2026,EQ,"78.00","81.00","76.01","78.13","81.00","80.53","78.37","107.50","69.85",8728718,"68,40,29,512.61",52656
09-Jan-2026,EQ,"79.99","80.31","77.80","80.12","78.26","78.13","78.77","109.55","69.85",6961354,"54,83,12,273.52",44031
08-Jan-2026,EQ,"82.69","83.59","79.15","83.01","79.80","80.12","81.25","109.55","69.85",7005736,"56,92,46,975.41",39754
07-Jan-2026,EQ,"84.29","84.38","82.20","84.36","82.85","83.01","83.01","109.55","69.85",6922260,"57,46,34,736.37",42786
06-Jan-2026,EQ,"87.38","87.38","83.60","87.65","84.30","84.36","84.53","109.55","69.85",20012455,"1,69,16,40,270.65",79143
05-Jan-2026,EQ,"84.00","88.80","83.80","83.04","87.99","87.65","87.56","109.55","69.85",101751319,"8,90,92,19,204.39",314608
02-Jan-2026,EQ,"74.96","83.99","74.67","74.74","83.27","83.04","81.90","112.50","69.85",82265437,"6,73,71,97,450.67",229398
01-Jan-2026,EQ,"74.95","75.50","74.60","74.76","74.74","74.74","74.93","112.50","69.85",1601702,"12,00,20,951.29",15260
