DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"4,218.90","4,298.40","4,182.80","4,218.90","4,274.00","4,285.60","4,267.82","6,261.00","3,645.00",947446,"4,04,35,27,920.10",82574
11-Feb-2026,EQ,"4,205.00","4,228.00","4,132.70","4,184.40","4,217.30","4,218.90","4,187.90","6,261.00","3,645.00",567174,"2,37,52,69,640.00",46503
10-Feb-2026,EQ,"4,190.00","4,204.90","4,157.60","4,171.20","4,176.00","4,184.40","4,178.64","6,261.00","3,645.00",649920,"2,71,57,78,573.80",46216
09-Feb-2026,EQ,"4,117.00","4,238.60","4,097.90","4,113.80","4,158.10","4,171.20","4,175.75","6,261.00","3,645.00",995086,"4,15,52,34,432.50",75244
06-Feb-2026,EQ,"4,144.40","4,157.00","4,044.40","4,131.30","4,095.00","4,113.80","4,103.34","6,261.00","3,645.00",1115797,"4,57,84,97,553.50",65019
05-Feb-2026,EQ,"3,973.40","4,142.40","3,863.00","4,012.60","4,132.00","4,131.30","4,070.13","6,261.00","3,645.00",3837832,"15,62,04,82,335.60",224807
04-Feb-2026,EQ,"3,834.00","4,070.00","3,805.00","3,822.80","4,021.00","4,012.60","3,974.99","6,261.00","3,645.00",1925540,"7,65,40,03,196.80",122371
03-Feb-2026,EQ,"3,900.00","3,900.10","3,791.10","3,720.90","3,821.00","3,822.80","3,818.47","6,261.00","3,645.00",744015,"2,84,10,00,514.10",63430
02-Feb-2026,EQ,"3,729.00","3,729.90","3,645.00","3,729.00","3,717.00","3,720.90","3,680.62","6,261.00","3,645.00",1046808,"3,85,29,03,805.10",72356
01-Feb-2026,EQ,"3,785.50","3,804.90","3,695.00","3,785.50","3,711.90","3,729.00","3,748.17","6,270.40","3,693.10",610655,"2,28,88,40,532.90",41444
30-Jan-2026,EQ,"3,815.00","3,841.80","3,751.10","3,823.80","3,766.00","3,785.50","3,786.08","6,270.40","3,693.10",1070238,"4,05,20,01,908.00",61135
29-Jan-2026,EQ,"3,850.00","3,857.70","3,758.00","3,864.00","3,825.00","3,823.80","3,798.06","6,270.40","3,693.10",769662,"2,92,32,23,094.60",55719
28-Jan-2026,EQ,"3,808.00","3,874.50","3,801.10","3,795.10","3,862.50","3,864.00","3,840.65","6,270.40","3,693.10",646525,"2,48,30,78,210.80",39123
27-Jan-2026,EQ,"3,776.60","3,818.00","3,718.10","3,755.90","3,815.90","3,795.10","3,767.72","6,270.40","3,693.10",996913,"3,75,60,87,212.90",87225
23-Jan-2026,EQ,"3,840.00","3,840.00","3,744.00","3,803.80","3,748.00","3,755.90","3,776.52","6,270.40","3,693.10",474377,"1,79,14,94,845.20",48657
22-Jan-2026,EQ,"3,774.60","3,848.90","3,767.60","3,764.40","3,810.00","3,803.80","3,795.69","6,270.40","3,693.10",1166339,"4,42,70,58,369.00",66664
21-Jan-2026,EQ,"3,836.00","3,846.10","3,693.10","3,836.10","3,760.10","3,764.40","3,760.92","6,270.40","3,693.10",1431168,"5,38,25,13,310.20",89516
20-Jan-2026,EQ,"3,963.00","3,963.90","3,819.30","3,945.60","3,836.00","3,836.10","3,865.93","6,270.40","3,819.30",912749,"3,52,86,25,875.60",73207
19-Jan-2026,EQ,"3,899.60","3,955.90","3,881.00","3,899.70","3,942.00","3,945.60","3,930.45","6,270.40","3,827.80",622614,"2,44,71,50,291.70",38231
16-Jan-2026,EQ,"3,910.00","3,977.80","3,890.00","3,932.20","3,900.00","3,899.70","3,928.81","6,523.85","3,827.80",867266,"3,40,73,26,571.80",60709
