"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 31-May-2024"
"NIFTY QUALITY LOW-VOLATILITY 30","17,001.65","17,037.20","16,842.60","16,947.20","16,884.70","-","-62.50","-0.37","8,11,06,780","12,890.18","-","-","1.15","4.40"
"UNITDSPR","1,579.00","1,609.80","1,561.60","1,549.20","1,577.90","-","28.70","1.85","21,05,296","334.08","1,700.00","1,136.30","-0.41","-"
"BAJAJ-AUTO","8,513.00","8,600.00","8,490.00","8,513.50","8,569.00","-","55.50","0.65","5,66,074","484.17","12,774.00","7,089.35","8.64","-6.29"
"PIDILITIND","3,098.00","3,115.50","3,077.50","3,080.20","3,099.00","-","18.80","0.61","3,22,366","99.80","3,415.00","2,622.20","2.38","3.73"
"BOSCHLTD","31,360.00","31,560.00","31,195.00","31,230.00","31,300.00","-","70.00","0.22","10,737","33.66","39,088.80","25,921.60","5.58","2.75"
"DRREDDY","1,250.00","1,253.40","1,240.80","1,247.70","1,249.00","-","1.30","0.10","8,11,620","101.22","1,421.49","1,020.00","5.48","-78.46"
"CIPLA","1,472.40","1,479.40","1,460.40","1,470.20","1,471.50","-","1.30","0.09","8,70,331","127.74","1,702.05","1,335.00","-3.63","1.59"
"COLPAL","2,475.10","2,479.90","2,445.30","2,474.30","2,476.00","-","1.70","0.07","6,06,721","149.75","3,890.00","2,311.50","-2.72","-6.89"
"MARICO","708.80","708.80","699.45","704.35","704.65","-","0.30","0.04","17,38,779","122.12","740.20","577.85","0.95","18.27"
"DABUR","484.45","486.80","482.55","484.45","484.50","-","0.05","0.01","14,60,542","70.83","672.00","433.30","0.82","-11.13"
"LTIM","5,097.50","5,115.50","5,020.00","5,072.50","5,070.00","-","-2.50","-0.05","2,29,510","116.05","6,767.95","3,802.00","10.76","7.88"
"HCLTECH","1,646.90","1,651.70","1,617.00","1,631.50","1,630.50","-","-1.00","-0.06","23,80,133","388.21","2,012.20","1,235.00","3.49","23.22"
"TITAN","3,525.50","3,580.00","3,503.50","3,525.50","3,521.00","-","-4.50","-0.13","6,76,943","238.60","3,867.00","2,925.00","5.52","8.75"
"EICHERMOT","5,414.00","5,414.00","5,296.00","5,361.00","5,349.50","-","-11.50","-0.21","4,79,572","256.29","5,906.50","4,253.85","-1.41","13.26"
"PIIND","3,829.90","3,894.30","3,802.30","3,827.90","3,816.00","-","-11.90","-0.31","2,04,115","78.38","4,804.05","2,951.10","3.18","8.14"
"ASIANPAINT","2,272.60","2,287.30","2,246.70","2,266.70","2,258.00","-","-8.70","-0.38","7,92,587","179.05","3,394.90","2,124.75","-5.94","-21.33"
"SUNPHARMA","1,695.00","1,695.00","1,657.60","1,674.60","1,667.50","-","-7.10","-0.42","25,56,920","426.49","1,960.35","1,377.20","-8.46","14.71"
"HDFCBANK","1,938.00","1,952.00","1,920.00","1,932.10","1,923.50","-","-8.60","-0.45","1,21,88,792","2,357.13","1,978.90","1,454.00","0.37","26.15"
"ITC","419.00","421.70","415.65","419.30","417.00","-","-2.30","-0.55","1,32,16,486","552.49","528.50","390.15","-2.55","-1.68"
"NESTLEIND","2,415.70","2,426.40","2,382.00","2,406.30","2,391.20","-","-15.10","-0.63","7,34,444","176.15","2,778.00","2,110.00","2.93","2.18"
"HEROMOTOCO","4,250.00","4,280.50","4,201.00","4,232.30","4,205.10","-","-27.20","-0.64","4,17,447","176.78","6,246.25","3,344.00","13.15","-17.33"
"HINDUNILVR","2,365.10","2,379.50","2,342.60","2,371.60","2,356.00","-","-15.60","-0.66","16,43,913","386.67","3,035.00","2,136.00","2.05","1.83"
"INFY","1,559.00","1,567.30","1,535.60","1,553.80","1,543.00","-","-10.80","-0.70","68,53,403","1,059.78","2,006.45","1,307.00","3.12","10.44"
"BRITANNIA","5,605.00","5,639.00","5,545.50","5,605.00","5,561.00","-","-44.00","-0.79","1,66,545","92.96","6,469.90","4,506.00","5.61","8.21"
"SBICARD","924.00","929.15","910.45","923.65","916.30","-","-7.35","-0.80","6,84,114","62.76","930.65","647.95","5.18","33.46"
"ICICIBANK","1,454.90","1,455.00","1,432.00","1,450.50","1,437.00","-","-13.50","-0.93","1,11,67,345","1,605.89","1,471.60","1,051.05","1.26","29.39"
"HAVELLS","1,521.00","1,524.80","1,498.50","1,514.80","1,499.50","-","-15.30","-1.01","11,80,380","178.07","2,106.00","1,381.30","-3.33","-20.58"
"KOTAKBANK","2,070.00","2,075.80","2,034.20","2,063.60","2,041.00","-","-22.60","-1.10","64,63,818","1,322.95","2,301.90","1,602.45","-5.56","22.80"
"TCS","3,446.00","3,473.50","3,400.50","3,449.80","3,411.40","-","-38.40","-1.11","28,48,125","973.61","4,592.25","3,056.05","0.15","-6.02"
"MARUTI","12,273.00","12,350.00","12,060.00","12,290.00","12,130.00","-","-160.00","-1.30","3,69,114","448.77","13,680.00","10,725.00","-0.94","-0.88"
"COALINDIA","399.70","400.50","390.50","399.70","392.30","-","-7.40","-1.85","73,60,608","289.73","543.55","349.25","3.98","-18.63"
