"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jun-2025","BE","673.25","673.25","673.25","686.95","673.25","673.25","673.25","1,099.00","485.50","2,660","17,90,845.00","106"
"04-Jun-2025","BE","708.80","718.00","671.00","694.20","690.00","686.95","695.38","1,099.00","485.50","30,619","2,12,91,688.70","645"
"03-Jun-2025","BE","669.00","694.20","663.00","661.15","694.20","694.20","689.49","1,099.00","485.50","19,418","1,33,88,470.75","426"
"02-Jun-2025","BE","634.00","661.15","615.50","629.70","661.15","661.15","650.19","1,099.00","485.50","16,271","1,05,79,306.40","533"
"30-May-2025","BE","630.00","644.90","607.00","615.00","638.00","629.70","628.86","1,099.00","485.50","32,535","2,04,59,862.85","521"
"29-May-2025","BE","597.70","621.00","587.20","593.35","620.00","615.00","603.08","1,099.00","485.50","15,573","93,91,715.30","405"
"28-May-2025","BE","608.70","608.70","585.00","604.05","595.85","593.35","592.59","1,099.00","485.50","14,013","83,04,024.65","2,917"
"27-May-2025","BE","623.00","636.90","600.00","624.50","600.00","604.05","614.77","1,099.00","485.50","18,957","1,16,54,253.55","631"
"26-May-2025","BE","639.90","644.90","621.60","626.85","625.00","624.50","628.53","1,099.00","485.50","18,244","1,14,66,976.65","815"
"23-May-2025","BE","625.00","626.85","621.05","629.95","626.85","626.85","624.23","1,099.00","485.50","12,140","75,78,188.15","170"
"22-May-2025","BE","605.25","629.95","605.25","617.60","629.95","629.95","614.39","1,099.00","485.50","15,045","92,43,426.35","224"
"21-May-2025","BE","617.60","617.60","617.60","630.20","617.60","617.60","617.60","1,099.00","485.50","24,837","1,53,39,331.20","175"
"20-May-2025","BE","630.20","630.20","630.20","617.85","630.20","630.20","630.20","1,099.00","485.50","11,903","75,01,270.60","102"
"19-May-2025","BE","617.85","617.85","617.85","605.75","617.85","617.85","617.85","1,099.00","485.50","8,074","49,88,520.90","101"
"16-May-2025","BE","605.75","605.75","605.75","593.90","605.75","605.75","605.75","1,099.00","479.05","6,305","38,19,253.75","72"
"15-May-2025","BE","593.90","593.90","593.90","582.30","593.90","593.90","593.90","1,099.00","479.05","3,396","20,16,884.40","41"
"14-May-2025","BE","582.30","582.30","582.30","570.90","582.30","582.30","582.30","1,099.00","479.05","1,479","8,61,221.70","46"
"13-May-2025","BE","560.00","570.90","560.00","559.75","570.90","570.90","561.37","1,099.00","479.05","7,727","43,37,710.60","101"
"12-May-2025","BE","558.00","559.75","557.50","548.80","559.75","559.75","558.81","1,099.00","479.05","26,693","1,49,16,309.65","265"
"09-May-2025","BE","548.80","548.80","548.80","560.00","548.80","548.80","548.80","1,099.00","479.05","2,174","11,93,091.20","68"
"08-May-2025","BE","564.60","564.60","560.00","553.55","560.00","560.00","563.79","1,099.00","479.05","8,030","45,27,261.60","162"
"07-May-2025","BE","553.35","553.55","553.35","564.65","553.55","553.55","553.41","1,099.00","479.05","11,453","63,38,179.55","151"
"06-May-2025","BE","564.65","564.65","564.65","576.15","564.65","564.65","564.65","1,099.00","479.05","4,230","23,88,469.50","81"
"05-May-2025","BE","576.15","576.15","576.15","587.90","576.15","576.15","576.15","1,099.00","479.05","5,016","28,89,968.40","113"
