"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jun-2025","EQ","744.80","756.90","736.45","738.85","754.40","754.75","752.23","756.90","406.00","30,99,466","2,33,15,12,789.55","75,281"
"04-Jun-2025","EQ","734.40","744.95","723.00","729.65","736.95","738.85","737.84","744.95","406.00","31,48,123","2,32,28,24,112.30","48,614"
"03-Jun-2025","EQ","725.00","739.90","725.00","722.35","730.00","729.65","731.83","744.50","406.00","21,31,110","1,55,96,11,768.75","51,729"
"02-Jun-2025","EQ","706.10","735.00","702.00","706.30","720.25","722.35","724.30","744.50","406.00","29,33,911","2,12,50,41,311.95","54,997"
"30-May-2025","EQ","716.30","723.00","705.00","716.30","709.90","706.30","709.31","744.50","406.00","17,59,347","1,24,79,28,146.65","49,657"
"29-May-2025","EQ","714.20","719.25","707.00","710.60","714.30","716.30","713.93","744.50","406.00","12,26,368","87,55,41,459.00","59,017"
"28-May-2025","EQ","708.00","722.20","703.20","704.95","712.00","710.60","713.64","744.50","406.00","23,32,242","1,66,43,86,428.90","91,116"
"27-May-2025","EQ","708.60","716.90","698.70","708.20","702.00","704.95","706.25","744.50","406.00","13,27,676","93,76,74,242.15","64,221"
"26-May-2025","EQ","721.00","728.90","702.00","719.05","709.00","708.20","713.24","744.50","406.00","10,10,386","72,06,46,743.70","39,829"
"23-May-2025","EQ","717.95","724.80","712.45","723.80","720.35","719.05","720.15","744.50","406.00","17,54,879","1,26,37,69,193.25","50,289"
"22-May-2025","EQ","671.50","741.35","671.50","672.05","723.00","723.80","722.77","744.50","406.00","1,17,86,233","8,51,87,04,242.70","2,30,906"
"21-May-2025","EQ","675.00","687.45","667.20","679.15","671.65","672.05","675.43","744.50","406.00","18,44,005","1,24,55,00,336.00","32,713"
"20-May-2025","EQ","693.70","693.85","675.00","685.85","681.95","679.15","680.12","744.50","406.00","16,37,259","1,11,35,33,958.25","39,196"
"19-May-2025","EQ","702.00","705.00","682.35","700.05","686.50","685.85","689.47","744.50","406.00","10,32,224","71,16,83,556.50","30,072"
"16-May-2025","EQ","707.00","709.05","695.30","699.40","699.80","700.05","701.55","744.50","406.00","8,50,892","59,69,40,966.80","27,798"
"15-May-2025","EQ","694.80","709.80","684.40","691.85","702.60","699.40","700.36","744.50","406.00","16,59,992","1,16,25,95,117.55","50,640"
"14-May-2025","EQ","669.00","694.60","663.00","666.20","692.50","691.85","684.45","744.50","406.00","15,31,628","1,04,83,16,867.15","44,686"
"13-May-2025","EQ","676.60","678.70","660.80","676.65","665.00","666.20","666.66","744.50","406.00","14,06,175","93,74,36,600.15","58,026"
"12-May-2025","EQ","676.00","679.30","669.35","664.70","677.70","676.65","675.20","744.50","406.00","10,74,733","72,56,59,619.25","32,971"
"09-May-2025","EQ","646.70","669.00","646.70","662.75","664.00","664.70","659.46","744.50","406.00","8,12,628","53,58,94,266.20","41,270"
"08-May-2025","EQ","686.00","691.70","657.70","682.75","659.05","662.75","670.71","744.50","406.00","14,44,130","96,85,95,492.20","69,175"
"07-May-2025","EQ","679.80","686.20","663.10","686.85","680.00","682.75","678.59","744.50","406.00","16,78,787","1,13,92,00,323.05","62,061"
"06-May-2025","EQ","682.00","694.80","666.00","681.00","685.90","686.85","683.50","744.50","406.00","16,59,976","1,13,45,99,729.25","59,738"
