"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jun-2025","EQ","174.49","179.00","174.22","174.00","176.50","176.44","176.90","310.00","137.01","1,72,52,049","3,05,19,70,670.68","84,316"
"04-Jun-2025","EQ","172.69","176.75","171.50","172.73","173.50","174.00","174.54","310.00","137.01","1,29,17,090","2,25,45,79,919.18","66,384"
"03-Jun-2025","EQ","175.50","175.50","171.69","175.21","172.70","172.73","172.98","310.00","137.01","1,01,67,418","1,75,87,96,342.03","67,525"
"02-Jun-2025","EQ","174.69","176.40","173.01","174.73","175.00","175.21","175.08","310.00","137.01","68,94,857","1,20,71,22,502.01","44,791"
"30-May-2025","EQ","177.14","177.90","173.25","176.65","175.04","174.73","175.20","310.00","137.01","84,50,040","1,48,04,42,019.32","48,759"
"29-May-2025","EQ","174.64","177.20","173.45","173.60","176.95","176.65","175.92","310.00","137.01","1,14,20,748","2,00,91,07,315.23","59,865"
"28-May-2025","EQ","176.00","177.50","173.11","175.24","173.35","173.60","175.14","310.00","137.01","84,84,251","1,48,59,28,218.30","51,229"
"27-May-2025","EQ","173.80","175.65","171.28","173.55","175.25","175.24","173.84","310.00","137.01","83,93,528","1,45,91,00,439.67","45,408"
"26-May-2025","EQ","171.85","175.19","171.85","171.85","173.45","173.55","173.51","310.00","137.01","98,38,997","1,70,71,53,418.05","53,880"
"23-May-2025","EQ","171.00","172.45","169.23","170.70","171.67","171.85","171.17","310.00","137.01","69,01,899","1,18,14,25,620.11","40,343"
"22-May-2025","EQ","170.50","171.90","168.31","172.21","170.85","170.70","170.21","310.00","137.01","70,76,795","1,20,45,43,546.10","51,766"
"21-May-2025","EQ","169.70","173.00","167.49","169.53","172.30","172.21","171.02","310.00","137.01","97,49,056","1,66,72,62,041.43","54,389"
"20-May-2025","EQ","175.50","175.90","169.16","174.23","169.70","169.53","171.47","310.00","137.01","90,69,123","1,55,51,19,236.61","57,505"
"19-May-2025","EQ","174.20","178.52","172.90","173.29","174.49","174.23","175.84","310.00","137.01","1,72,16,917","3,02,74,16,794.07","82,727"
"16-May-2025","EQ","167.50","175.98","167.02","166.75","173.00","173.29","172.57","310.00","137.01","2,42,74,411","4,18,89,51,984.39","1,14,481"
"15-May-2025","EQ","166.99","169.25","165.31","167.79","166.80","166.75","166.78","310.00","137.01","1,47,74,415","2,46,41,21,699.69","76,504"
"14-May-2025","EQ","168.00","170.59","166.05","167.08","168.10","167.79","167.89","310.00","137.01","1,18,58,299","1,99,08,46,241.48","60,513"
"13-May-2025","EQ","168.50","169.31","166.15","168.00","167.50","167.08","167.82","310.00","137.01","85,14,560","1,42,88,86,323.07","52,236"
"12-May-2025","EQ","165.00","168.85","163.00","156.48","168.52","168.00","166.00","310.00","137.01","1,20,43,565","1,99,92,16,873.62","66,474"
"09-May-2025","EQ","153.20","158.00","153.00","158.79","157.90","156.48","155.01","310.00","137.01","1,16,37,047","1,80,38,02,460.23","84,650"
"08-May-2025","EQ","163.49","164.95","157.45","162.37","157.80","158.79","162.10","310.00","137.01","68,56,306","1,11,14,40,326.83","47,934"
"07-May-2025","EQ","157.03","163.00","156.55","160.23","162.51","162.37","160.59","310.00","137.01","1,23,92,991","1,99,02,13,654.76","63,949"
"06-May-2025","EQ","168.51","168.74","159.75","168.75","160.60","160.23","163.00","310.00","137.01","1,09,25,576","1,78,09,03,971.84","73,410"
