"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jun-2025","EQ","1,782.20","1,817.50","1,775.70","1,777.30","1,801.90","1,800.80","1,800.84","2,343.65","1,451.95","4,96,326","89,38,03,498.10","32,361"
"04-Jun-2025","EQ","1,818.00","1,826.00","1,757.10","1,797.30","1,778.30","1,777.30","1,786.75","2,343.65","1,451.95","9,37,309","1,67,47,38,356.60","59,451"
"03-Jun-2025","EQ","1,786.00","1,814.80","1,772.40","1,768.10","1,794.00","1,797.30","1,795.42","2,343.65","1,451.95","11,14,026","2,00,01,50,051.20","69,070"
"02-Jun-2025","EQ","1,746.90","1,784.00","1,721.60","1,746.30","1,769.00","1,768.10","1,763.95","2,343.65","1,451.95","8,84,586","1,56,03,68,818.50","50,767"
"30-May-2025","EQ","1,750.00","1,764.50","1,717.90","1,740.90","1,738.30","1,746.30","1,745.22","2,343.65","1,451.95","24,92,957","4,35,07,46,108.30","61,943"
"29-May-2025","EQ","1,725.90","1,751.90","1,694.20","1,725.90","1,735.20","1,740.90","1,727.37","2,343.65","1,451.95","10,13,315","1,75,03,70,633.00","61,820"
"28-May-2025","EQ","1,751.20","1,765.00","1,716.00","1,751.20","1,727.70","1,725.90","1,740.18","2,343.65","1,451.95","7,17,635","1,24,88,12,816.20","42,221"
"27-May-2025","EQ","1,735.40","1,760.90","1,727.90","1,741.40","1,749.90","1,751.20","1,749.89","2,343.65","1,451.95","4,67,941","81,88,47,269.10","23,098"
"26-May-2025","EQ","1,744.90","1,760.30","1,733.40","1,738.30","1,740.00","1,741.40","1,745.64","2,343.65","1,451.95","3,78,639","66,09,67,493.30","23,940"
"23-May-2025","EQ","1,730.00","1,748.90","1,712.10","1,728.00","1,739.00","1,738.30","1,738.91","2,343.65","1,451.95","2,86,447","49,81,05,912.90","20,237"
"22-May-2025","EQ","1,731.90","1,743.70","1,721.00","1,731.90","1,726.90","1,728.00","1,732.04","2,343.65","1,451.95","3,35,377","58,08,85,254.40","23,871"
"21-May-2025","EQ","1,705.00","1,744.70","1,699.00","1,699.20","1,732.00","1,731.90","1,727.37","2,343.65","1,451.95","6,20,174","1,07,12,70,239.10","44,266"
"20-May-2025","EQ","1,746.00","1,761.90","1,692.40","1,734.60","1,703.00","1,699.20","1,726.41","2,343.65","1,451.95","11,36,840","1,96,26,46,664.70","61,515"
"19-May-2025","EQ","1,685.00","1,746.00","1,670.80","1,676.20","1,735.00","1,734.60","1,722.78","2,343.65","1,451.95","10,63,705","1,83,25,27,663.20","56,018"
"16-May-2025","EQ","1,635.00","1,679.00","1,626.30","1,633.50","1,675.50","1,676.20","1,662.31","2,343.65","1,445.90","5,45,987","90,75,97,114.60","31,676"
"15-May-2025","EQ","1,619.00","1,642.20","1,591.20","1,613.30","1,632.00","1,633.50","1,627.40","2,343.65","1,445.90","4,81,428","78,34,73,893.90","26,683"
"14-May-2025","EQ","1,590.20","1,627.10","1,577.70","1,586.20","1,610.30","1,613.30","1,610.94","2,343.65","1,445.90","6,40,989","1,03,25,95,350.10","41,170"
"13-May-2025","EQ","1,618.10","1,628.60","1,573.00","1,617.70","1,591.00","1,586.20","1,587.93","2,343.65","1,445.90","8,22,538","1,30,61,29,889.50","38,471"
"12-May-2025","EQ","1,614.00","1,621.60","1,550.00","1,534.20","1,620.30","1,617.70","1,603.22","2,343.65","1,445.90","8,50,975","1,36,43,02,123.00","48,582"
"09-May-2025","EQ","1,510.00","1,547.30","1,510.00","1,554.70","1,541.00","1,534.20","1,523.63","2,343.65","1,444.40","6,66,647","1,01,57,25,067.30","47,003"
