"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Jun-2025","EQ","1,579.00","1,609.80","1,561.60","1,549.20","1,577.90","1,579.60","1,586.85","1,700.00","1,136.30","21,05,296","3,34,07,86,398.40","89,749"
"02-Jun-2025","EQ","1,520.10","1,551.30","1,511.00","1,520.10","1,550.90","1,549.20","1,535.94","1,700.00","1,136.30","9,62,416","1,47,82,14,231.60","46,634"
"30-May-2025","EQ","1,520.10","1,537.80","1,498.50","1,522.60","1,530.00","1,520.10","1,518.44","1,700.00","1,136.30","14,50,384","2,20,23,17,656.20","47,304"
"29-May-2025","EQ","1,525.10","1,529.30","1,506.70","1,522.70","1,521.80","1,522.60","1,518.10","1,700.00","1,136.30","6,49,913","98,66,31,860.20","44,037"
"28-May-2025","EQ","1,533.10","1,539.80","1,518.10","1,533.10","1,527.60","1,522.70","1,523.90","1,700.00","1,136.30","4,23,530","64,54,15,842.60","33,718"
"27-May-2025","EQ","1,563.30","1,565.00","1,528.70","1,555.50","1,533.20","1,533.10","1,538.83","1,700.00","1,136.30","6,39,811","98,45,62,309.50","42,550"
"26-May-2025","EQ","1,580.00","1,588.30","1,553.00","1,578.90","1,554.00","1,555.50","1,564.21","1,700.00","1,136.30","3,43,457","53,72,37,365.60","22,002"
"23-May-2025","EQ","1,570.30","1,592.90","1,568.20","1,568.40","1,571.70","1,578.90","1,582.05","1,700.00","1,136.30","6,40,485","1,01,32,78,564.30","34,633"
"22-May-2025","EQ","1,551.50","1,577.00","1,519.10","1,557.40","1,570.00","1,568.40","1,548.23","1,700.00","1,136.30","7,76,793","1,20,26,52,257.50","30,446"
"21-May-2025","EQ","1,570.00","1,570.00","1,501.70","1,556.60","1,552.10","1,557.40","1,545.60","1,700.00","1,136.30","24,03,116","3,71,42,55,140.60","89,415"
"20-May-2025","EQ","1,572.00","1,572.00","1,540.10","1,556.00","1,560.10","1,556.60","1,555.27","1,700.00","1,136.30","7,26,976","1,13,06,41,459.40","37,040"
"19-May-2025","EQ","1,540.30","1,567.70","1,536.10","1,540.30","1,559.00","1,556.00","1,555.76","1,700.00","1,136.30","9,82,452","1,52,84,55,421.90","37,901"
"16-May-2025","EQ","1,550.00","1,557.20","1,531.10","1,538.50","1,540.00","1,540.30","1,539.68","1,700.00","1,136.30","8,47,943","1,30,55,63,221.40","38,996"
"15-May-2025","EQ","1,529.80","1,546.00","1,528.10","1,534.40","1,541.00","1,538.50","1,537.92","1,700.00","1,136.30","4,41,481","67,89,63,298.60","26,052"
"14-May-2025","EQ","1,550.00","1,562.50","1,521.00","1,553.90","1,530.90","1,534.40","1,535.03","1,700.00","1,136.30","6,38,135","97,95,54,311.70","36,327"
"13-May-2025","EQ","1,564.20","1,573.20","1,549.10","1,564.20","1,553.20","1,553.90","1,558.84","1,700.00","1,136.30","4,27,254","66,60,20,068.50","27,672"
"12-May-2025","EQ","1,555.00","1,579.90","1,552.10","1,531.20","1,562.00","1,564.20","1,563.23","1,700.00","1,136.30","4,80,122","75,05,42,636.90","32,126"
"09-May-2025","EQ","1,525.10","1,544.30","1,498.50","1,537.20","1,529.80","1,531.20","1,527.37","1,700.00","1,136.30","9,91,191","1,51,39,11,984.50","46,765"
"08-May-2025","EQ","1,589.50","1,593.70","1,532.10","1,589.50","1,535.50","1,537.20","1,559.94","1,700.00","1,136.30","7,15,376","1,11,59,45,075.20","36,517"
"07-May-2025","EQ","1,615.00","1,616.00","1,537.60","1,576.30","1,583.00","1,589.50","1,579.16","1,700.00","1,136.30","22,90,058","3,61,63,57,768.00","1,13,435"
"06-May-2025","EQ","1,559.10","1,588.00","1,550.50","1,559.10","1,578.70","1,576.30","1,576.72","1,700.00","1,136.30","8,98,145","1,41,61,26,239.10","40,895"
"05-May-2025","EQ","1,565.50","1,571.30","1,553.50","1,555.60","1,561.60","1,559.10","1,559.85","1,700.00","1,136.30","2,47,436","38,59,64,253.70","22,136"
