"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jun-2025","EQ","1,954.00","1,999.80","1,949.00","1,944.00","1,995.50","1,995.20","1,982.58","2,402.90","1,493.30","11,30,246","2,24,08,05,559.10","50,397"
"04-Jun-2025","EQ","1,954.00","1,969.00","1,935.00","1,954.00","1,940.50","1,944.00","1,944.11","2,402.90","1,493.30","5,51,337","1,07,18,57,386.50","39,538"
"03-Jun-2025","EQ","1,970.00","1,972.70","1,948.20","1,961.10","1,952.00","1,954.00","1,955.76","2,402.90","1,493.30","6,81,118","1,33,21,05,846.10","43,548"
"02-Jun-2025","EQ","1,954.00","1,964.40","1,941.50","1,957.70","1,960.90","1,961.10","1,954.60","2,402.90","1,493.30","4,98,677","97,47,12,327.00","47,672"
"30-May-2025","EQ","1,970.00","1,975.00","1,941.00","1,970.10","1,954.90","1,957.70","1,954.59","2,402.90","1,493.30","13,40,964","2,62,10,39,825.70","53,834"
"29-May-2025","EQ","1,960.00","1,975.00","1,949.20","1,941.60","1,974.60","1,970.10","1,961.21","2,402.90","1,493.30","10,08,723","1,97,83,18,460.90","50,639"
"28-May-2025","EQ","1,971.50","1,978.40","1,938.40","1,970.20","1,940.00","1,941.60","1,953.05","2,402.90","1,493.30","9,32,231","1,82,06,96,018.80","49,015"
"27-May-2025","EQ","1,988.80","2,000.30","1,965.00","1,987.30","1,968.00","1,970.20","1,975.09","2,402.90","1,493.30","6,72,238","1,32,77,29,796.30","32,488"
"26-May-2025","EQ","1,984.00","2,004.90","1,971.50","1,978.90","1,988.20","1,987.30","1,988.20","2,402.90","1,493.30","11,59,667","2,30,56,47,900.30","46,790"
"23-May-2025","EQ","1,978.00","1,981.80","1,946.90","1,968.70","1,978.20","1,978.90","1,970.16","2,402.90","1,493.30","5,87,965","1,15,83,85,608.30","39,887"
"22-May-2025","EQ","1,995.70","1,998.70","1,955.60","1,996.00","1,968.00","1,968.70","1,968.79","2,402.90","1,493.30","9,89,503","1,94,81,21,665.30","44,310"
"21-May-2025","EQ","1,974.00","2,016.90","1,968.20","1,966.90","1,990.00","1,996.00","1,998.58","2,402.90","1,493.30","15,55,298","3,10,83,89,039.50","70,933"
"20-May-2025","EQ","2,037.60","2,041.00","1,963.50","2,029.60","1,969.50","1,966.90","1,988.95","2,402.90","1,493.30","15,68,846","3,12,03,54,071.50","80,328"
"19-May-2025","EQ","2,072.10","2,077.00","2,025.60","2,068.40","2,028.80","2,029.60","2,048.20","2,402.90","1,493.30","8,24,580","1,68,89,02,587.00","41,824"
"16-May-2025","EQ","2,084.00","2,084.00","2,041.00","2,072.90","2,065.00","2,068.40","2,065.74","2,402.90","1,493.30","20,99,648","4,33,73,25,131.70","77,015"
"15-May-2025","EQ","2,100.00","2,118.90","2,063.80","2,071.40","2,070.00","2,072.90","2,080.67","2,402.90","1,493.30","22,68,766","4,72,05,55,098.60","80,879"
"14-May-2025","EQ","2,066.20","2,086.00","2,035.80","2,064.40","2,082.00","2,071.40","2,056.21","2,402.90","1,493.30","11,96,372","2,45,99,86,357.30","56,119"
"13-May-2025","EQ","2,051.40","2,114.30","2,049.30","2,039.80","2,066.20","2,064.40","2,083.52","2,402.90","1,493.30","13,73,008","2,86,06,92,592.80","1,01,139"
"12-May-2025","EQ","1,998.00","2,045.00","1,974.00","2,037.40","2,044.00","2,039.80","2,014.16","2,402.90","1,493.30","12,07,946","2,43,29,91,745.90","54,022"
"09-May-2025","EQ","1,977.10","2,048.20","1,976.10","2,014.80","2,035.00","2,037.40","2,017.38","2,402.90","1,493.30","5,58,130","1,12,59,57,599.90","37,498"
"08-May-2025","EQ","2,078.80","2,099.70","2,006.70","2,071.40","2,008.00","2,014.80","2,039.85","2,402.90","1,493.30","8,78,435","1,79,18,72,117.30","60,569"
"07-May-2025","EQ","2,025.10","2,074.90","2,025.10","2,049.00","2,073.00","2,071.40","2,062.99","2,402.90","1,493.30","6,87,550","1,41,84,09,693.90","35,646"
"06-May-2025","EQ","2,055.00","2,078.50","2,014.60","2,085.30","2,050.00","2,049.00","2,045.33","2,402.90","1,493.30","7,05,896","1,44,37,86,915.40","43,525"
"05-May-2025","EQ","2,070.00","2,100.00","2,053.00","2,057.10","2,081.70","2,085.30","2,082.78","2,402.90","1,493.30","10,91,556","2,27,34,71,312.00","28,754"
