"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 13-May-2024"
"NIFTY 50","24,613.80","24,767.55","24,535.55","24,578.35","24,666.90","-","88.55","0.36","34,54,90,805","25,585.20","26,277.35","21,281.45","7.66","11.19"
"TATASTEEL","151.00","157.15","151.00","149.43","155.30","-","5.87","3.93","6,00,02,060","932.97","184.60","122.62","12.00","-8.80"
"SHRIRAMFIN","639.50","655.30","637.60","633.60","651.00","-","17.40","2.75","93,24,793","605.73","730.45","438.60","-0.81","-72.47"
"BEL","339.00","346.00","334.50","335.75","344.50","-","8.75","2.61","4,36,84,324","1,493.52","346.00","221.00","17.81","49.39"
"HINDALCO","635.50","652.95","634.00","634.75","649.50","-","14.75","2.32","48,19,584","312.17","772.65","546.45","5.74","0.20"
"TECHM","1,584.00","1,609.40","1,578.10","1,572.50","1,607.40","-","34.90","2.22","23,54,571","375.98","1,807.70","1,193.65","22.64","24.60"
"COALINDIA","396.75","404.05","396.45","395.15","403.75","-","8.60","2.18","68,22,756","273.95","543.55","349.25","0.78","-11.00"
"ONGC","241.16","246.90","241.16","241.16","246.04","-","4.88","2.02","82,34,859","201.92","345.00","205.00","4.68","-9.64"
"ETERNAL","232.00","237.44","232.00","231.65","236.27","-","4.62","1.99","2,31,58,211","545.24","304.70","146.30","-","-"
"MARUTI","12,485.00","12,718.00","12,411.00","12,482.00","12,700.00","-","218.00","1.75","3,06,050","385.95","13,680.00","10,725.00","7.61","-1.51"
"M&M","3,037.50","3,110.00","3,018.00","3,053.80","3,103.10","-","49.30","1.61","22,36,302","691.56","3,270.95","2,160.00","18.35","39.81"
"INFY","1,574.00","1,595.00","1,569.50","1,568.60","1,592.80","-","24.20","1.54","48,70,057","773.76","2,006.45","1,307.00","11.29","10.20"
"INDUSINDBK","775.00","786.40","764.55","770.10","781.95","-","11.85","1.54","91,64,606","710.19","1,550.00","606.00","11.69","-45.17"
"HCLTECH","1,630.00","1,642.30","1,617.00","1,619.60","1,641.30","-","21.70","1.34","15,69,126","256.20","2,012.20","1,235.00","16.47","23.36"
"GRASIM","2,719.90","2,747.00","2,705.30","2,708.70","2,739.00","-","30.30","1.12","3,30,652","90.23","2,877.75","2,171.60","2.17","13.56"
"DRREDDY","1,213.30","1,223.30","1,193.20","1,207.10","1,220.30","-","13.20","1.09","11,97,152","145.42","1,421.49","1,020.00","8.80","-79.57"
