"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-May-2025","EQ","61.00","61.72","60.35","61.28","61.03","61.01","61.00","86.04","41.90","4,32,20,436","2,63,62,38,911.82","74,706"
"21-May-2025","EQ","60.20","61.65","59.35","60.35","61.20","61.28","60.88","86.04","41.90","5,79,16,922","3,52,58,83,327.03","97,442"
"20-May-2025","EQ","61.95","62.19","60.10","61.53","60.45","60.35","60.78","86.04","41.90","6,44,16,562","3,91,49,21,323.64","1,16,554"
"19-May-2025","EQ","61.21","62.60","61.12","61.08","61.69","61.53","61.78","86.04","41.90","5,33,53,255","3,29,62,32,248.31","1,22,948"
"16-May-2025","EQ","61.60","62.13","60.35","61.22","61.05","61.08","61.23","86.04","37.90","7,78,00,547","4,76,35,86,614.56","1,42,499"
"15-May-2025","EQ","60.40","61.77","60.10","59.92","61.23","61.22","61.09","86.04","37.90","7,99,89,466","4,88,66,37,323.54","1,49,415"
"14-May-2025","EQ","57.90","60.40","57.40","57.60","60.00","59.92","59.47","86.04","37.90","9,77,34,016","5,81,25,31,443.68","1,92,667"
"13-May-2025","EQ","57.20","58.17","56.71","56.95","57.65","57.60","57.52","86.04","37.90","5,56,23,455","3,19,96,34,793.96","1,09,448"
"12-May-2025","EQ","56.24","57.40","55.24","52.67","57.15","56.95","56.52","86.04","37.90","8,95,97,903","5,06,41,88,736.08","1,61,591"
"09-May-2025","EQ","51.25","53.00","51.10","53.15","52.93","52.67","52.08","86.04","37.90","6,85,98,385","3,57,23,10,337.71","1,34,144"
"08-May-2025","EQ","55.50","55.98","52.80","54.70","52.90","53.15","54.31","86.04","37.90","6,50,62,799","3,53,32,90,976.65","1,18,297"
"07-May-2025","EQ","52.40","55.18","52.40","53.74","54.90","54.70","53.96","86.04","37.90","10,08,31,859","5,44,13,52,974.45","1,73,595"
"06-May-2025","EQ","57.00","57.49","53.42","56.92","53.80","53.74","55.01","86.04","37.90","5,96,98,908","3,28,41,48,967.74","1,19,610"
"05-May-2025","EQ","56.50","57.25","56.35","56.25","56.98","56.92","56.88","86.04","37.90","3,01,73,749","1,71,61,75,665.67","68,241"
"02-May-2025","EQ","56.16","56.99","55.86","56.40","56.15","56.25","56.43","86.04","37.90","4,21,39,460","2,37,78,59,412.47","97,710"
"30-Apr-2025","EQ","57.70","57.90","56.00","57.70","56.00","56.40","56.83","86.04","37.90","5,55,07,075","3,15,44,49,784.85","1,14,196"
"29-Apr-2025","EQ","58.00","59.50","57.35","57.78","57.54","57.70","58.18","86.04","37.90","5,16,29,064","3,00,36,81,512.27","93,538"
"28-Apr-2025","EQ","57.50","58.49","57.00","58.30","57.85","57.78","57.86","86.04","37.90","5,06,41,247","2,93,02,71,367.82","1,06,830"
"25-Apr-2025","EQ","60.31","60.45","56.72","60.11","57.81","58.30","58.28","86.04","37.90","10,43,62,729","6,08,18,22,314.05","1,96,575"
"24-Apr-2025","EQ","60.00","61.49","59.72","59.99","59.98","60.11","60.63","86.04","37.90","9,78,50,644","5,93,25,61,316.51","1,59,484"
"23-Apr-2025","EQ","59.68","60.17","58.13","59.27","60.04","59.99","59.44","86.04","37.90","9,79,68,387","5,82,33,18,692.75","1,71,550"
