
Quote-Equity-RADICO-EQ-01-01-2026-01-02-2026.csv,30-Jan-2026,2828.1,626081,NO TRADE
Quote-Equity-MAZDOCK-EQ-25-01-2026-01-02-2026.csv,27-Jan-2026,2335.1,988179,NO TRADE
Quote-Equity-MAZDOCK-EQ-25-01-2026-01-02-2026.csv,27-Jan-2026,2335.1,988179,NO TRADE
Quote-Equity-ITC-EQ-07-02-2025-07-02-2026.csv,07-Feb-2025,430.85,18875982,NO TRADE
Quote-Equity-ITC-EQ-07-02-2025-07-02-2026.csv,430.85,18875982,NO TRADE,72.92,88.02,411.32,411.87
Quote-Equity-BAJFINANCE-EQ-07-02-2025-07-02-2026.csv,8474.25,966540,NO TRADE,50.42,47.72,8430.88,8331.52
Quote-Equity-APOLLOHOSP-EQ-07-02-2025-07-02-2026.csv,6790.55,259335,NO TRADE,67.83,81.9,6408.45,6510.69
Quote-Equity-APOLLOHOSP-EQ-07-02-2025-07-02-2026.csv,7152.5,668962,NO TRADE,55.93,51.06,7039.2,7136.33
Quote-Equity-APOLLOHOSP-EQ-07-02-2025-07-02-2026.csv,7152.5,668962,NO TRADE,55.93,51.06,7039.2,7136.33,7230.8
Quote-Equity-ITC-EQ-07-02-2025-07-02-2026.csv,325.8,68057745,NO TRADE,42.45,44.33,328.03,353.84,392.85
Quote-Equity-BAJFINANCE-EQ-07-02-2025-07-02-2026.csv,981.7,13742927,NO TRADE,57.78,52.93,951.39,982.58,2497.83
Quote-Equity-SAILIFE-EQ-08-02-2025-08-02-2026.csv,849.8,4339405,NO TRADE,48.63,49.65,850.29,868.98,839.41
Quote-Equity-WAAREEENER-EQ-08-02-2025-08-02-2026.csv,3087.7,951575,NO TRADE,64.02,71.18,2832.78,2887.76,2945.8
Quote-Equity-MAZDOCK-EQ-08-02-2025-08-02-2026.csv,2402.4,1501767,NO TRADE,45.63,47.78,2438.51,2500.79,2646.36
Quote-Equity-HAL-EQ-07-02-2025-07-02-2026.csv,4067.5,2094080,NO TRADE,37.16,36.56,4353.03,4425.33,4465.65
Quote-Equity-MUTHOOTFIN-EQ-08-02-2025-08-02-2026.csv,3704.2,827152,NO TRADE,46.83,42.06,3767.83,3732.87,3181.7
Quote-Equity-VEDL-EQ-07-02-2025-07-02-2026.csv,671.05,16866400,NO TRADE,53.25,49.35,667.09,621.68,523.59
Quote-Equity-DATAPATTNS-EQ-07-02-2025-07-02-2026.csv,2723.7,3563917,NO TRADE,57.1,57.03,2548.79,2600.66,2566.42
Quote-Equity-SUZLON-EQ-08-02-2025-08-02-2026.csv,48.04,57960744,NO TRADE,46.27,50.2,48.42,50.52,54.93
Quote-Equity-DIXON-EQ-08-02-2025-08-02-2026.csv,11502.0,477648,NO TRADE,52.94,57.33,11100.52,12127.38,14291.03
Quote-Equity-AMBER-EQ-08-02-2025-08-02-2026.csv,6640.0,442275,NO TRADE,64.15,65.25,6140.97,6437.26,6958.84
Quote-Equity-DATAPATTNS-EQ-08-02-2025-08-02-2026.csv,2723.7,3563917,NO TRADE,57.1,57.03,2548.79,2600.66,2561.69
Quote-Equity-MRF-EQ-08-02-2025-08-02-2026.csv,146455.0,64381,NO TRADE,58.03,54.51,139922.61,145024.97,143088.85
Quote-Equity-KIRLOSBROS-EQ-08-02-2025-08-02-2026.csv,1603.6,1644409,NO TRADE,53.96,57.01,1557.91,1612.23,1777.79
Quote-Equity-EIHOTEL-EQ-08-02-2025-08-02-2026.csv,348.05,15170115,NO TRADE,57.71,56.82,334.67,349.0,368.39
Quote-Equity-GODREJPROP-EQ-08-02-2025-08-02-2026.csv,1699.8,1446287,NO TRADE,44.5,42.17,1714.0,1859.09,2041.08
Quote-Equity-SUZLON-EQ-08-02-2025-08-02-2026.csv,48.04,57960744,NO TRADE,46.27,50.2,48.42,50.52,54.93
Quote-Equity-DIXON-EQ-08-02-2025-08-02-2026.csv,11502.0,477648,NO TRADE,52.94,57.33,11100.52,12127.38,14291.03
Quote-Equity-AMBER-EQ-08-02-2025-08-02-2026.csv,6640.0,442275,NO TRADE,64.15,65.25,6140.97,6437.26,6958.84
Quote-Equity-DATAPATTNS-EQ-08-02-2025-08-02-2026.csv,2723.7,3563917,NO TRADE,57.1,57.03,2548.79,2600.66,2561.69
Quote-Equity-MRF-EQ-08-02-2025-08-02-2026.csv,146455.0,64381,NO TRADE,58.03,54.51,139922.61,145024.97,143088.85
