"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","25,333.75","25,440.90","24,571.75","25,320.65","25,100.15","-","-220.50","-0.87","23,12,83,107","15,135.98","26,373.20","21,743.65","-2.38","9.31"
"MAXHEALTH","958.00","996.40","950.60","956.80","984.80","-","28.00","2.93","23,63,330","231.18","1,314.30","940.00","-8.07","-6.65"
"WIPRO","236.80","244.12","235.44","236.90","243.73","-","6.83","2.88","53,42,816","127.69","323.60","228.00","-10.15","-24.18"
"TITAN","3,988.00","4,058.60","3,870.40","3,977.40","4,057.60","-","80.20","2.02","2,44,016","96.00","4,312.10","2,925.00","0.08","18.00"
"TCS","3,123.80","3,193.00","3,105.20","3,123.90","3,174.60","-","50.70","1.62","11,99,564","377.44","4,150.00","2,866.60","-3.79","-23.80"
"SUNPHARMA","1,640.00","1,655.70","1,590.00","1,595.30","1,617.70","-","22.40","1.40","16,90,273","275.00","1,851.20","1,548.00","-7.26","-8.07"
"INFY","1,630.00","1,662.00","1,604.00","1,641.00","1,651.30","-","10.30","0.63","31,67,956","515.66","1,924.00","1,307.00","1.20","-12.77"
"DRREDDY","1,220.20","1,235.60","1,212.50","1,218.10","1,225.00","-","6.90","0.57","3,15,681","38.65","1,379.70","1,020.00","-3.77","3.12"
"HDFCBANK","932.00","939.65","912.65","929.25","932.30","-","3.05","0.33","54,14,757","504.64","1,020.50","830.55","-6.22","-44.60"
"KOTAKBANK","408.50","415.90","403.30","408.00","408.70","-","0.70","0.17","40,05,280","164.24","460.38","374.32","-81.05","-78.75"
"APOLLOHOSP","7,007.00","7,062.00","6,900.00","6,960.50","6,971.00","-","10.50","0.15","1,44,792","100.98","8,099.50","6,001.00","-0.42","2.60"
"TECHM","1,732.00","1,759.80","1,706.40","1,743.10","1,744.00","-","0.90","0.05","3,37,922","58.65","1,776.60","1,209.40","8.63","3.68"
"M&M","3,444.30","3,525.00","3,343.00","3,431.80","3,431.70","-","-0.10","-","9,95,093","343.67","3,839.90","2,425.00","-6.24","17.35"
"TMPV","349.20","360.65","339.35","350.05","349.35","-","-0.70","-0.20","57,23,122","202.16","744.00","335.60","-3.23","-"
"INDIGO","4,633.90","4,652.00","4,545.00","4,596.50","4,582.30","-","-14.20","-0.31","2,22,118","102.31","6,232.50","4,157.85","-8.40","7.05"
"LT","3,953.00","4,042.80","3,756.00","3,932.30","3,918.40","-","-13.90","-0.35","17,43,787","689.19","4,195.00","2,965.30","-2.95","13.99"
